,排  名,代號,名稱,股價  日期,成交,漲跌  價,漲跌  幅,股利  發放  年度,最後  成交  價,所屬  EPS,現金  股利,股票  股利,合計  股利,現金  殖利率,股票  殖利率,合計  殖利率,盈餘  配息率,盈餘  配股率,盈餘總  分配率,現金  股利  發放日
106,102,5434,崇越,03/28,168.5,0,0,2022,168.5,12.63,8.8,0,8.8,5.22,0,5.22,69.7,0,69.7,
107,103,6747,亨泰光,03/28,229.5,-1.5,-0.65,2022,229.5,10.01,8.68,0,8.68,3.78,0,3.78,86.7,0,86.7,
108,104,1558,伸興,03/28,141,-0.5,-0.35,2022,141,8.68,8.5,0,8.5,6.03,0,6.03,97.9,0,97.9,
109,105,6491,晶碩,03/28,490,+5,+1.03,2022,490,17.84,8.5,0,8.5,1.73,0,1.73,47.6,0,47.6,
110,106,6703,軒郁,03/28,99.2,+9,+9.98,2022,99.2,,7.3,1.2,8.5,7.36,1.21,8.57,,,,
111,107,6716,應廣,03/28,159,-0.5,-0.31,2022,159,11.52,7.5,1,8.5,4.72,0.63,5.35,65.1,8.68,73.8,
112,108,6763,綠界科技,03/28,740,-28,-3.65,2022,740,11.13,8,0.5,8.5,1.08,0.07,1.15,71.9,4.49,76.4,
114,109,1301,台塑,03/28,105.5,-1,-0.94,2022,105.5,11.21,8.2,0,8.2,7.77,0,7.77,73.1,0,73.1,
115,110,6202,盛群,03/28,119.5,0,0,2022,119.5,9.04,8.12,0,8.12,6.8,0,6.8,89.9,0,89.9,
116,111,5508,永信建,03/28,74.1,-0.7,-0.94,2022,74.1,8.9,8.01,0,8.01,10.8,0,10.8,90,0,90,
117,112,2348,海悅,03/28,102,-7,-6.42,2022,102,,7,1,8,6.86,0.98,7.84,,,,
118,113,2395,研華,03/28,359.5,-2.5,-0.69,2022,359.5,10.67,8,0,8,2.23,0,2.23,75,0,75,
119,114,3006,晶豪科,03/28,165.5,+2.5,+1.53,2022,165.5,17.76,8,0,8,4.83,0,4.83,45,0,45,
120,115,3105,穩懋,03/28,276.5,-4,-1.43,2022,276.5,12.9,8,0,8,2.89,0,2.89,62,0,62,
121,116,3152,璟德,03/28,267,-4,-1.48,2022,267,14.88,8,0,8,3,0,3,53.8,0,53.8,
122,117,3406,玉晶光,03/28,424.5,-13.5,-3.08,2022,424.5,16.96,8,0,8,1.88,0,1.88,47.2,0,47.2,
123,118,3527,聚積,03/28,159.5,-3,-1.85,2022,159.5,12.69,8,0,8,5.02,0,5.02,63,0,63,
124,119,4770,上品,03/28,248.5,-1,-0.4,2022,248.5,,8,0,8,3.22,0,3.22,,,,22'04/29
125,120,5283,禾聯碩,03/28,117.5,+0.5,+0.43,2022,117.5,10.69,8,0,8,6.81,0,6.81,74.8,0,74.8,22'04/21
126,121,6176,瑞儀,03/28,103.5,+0.5,+0.49,2021,103.5,11.24,8,0,8,7.73,0,7.73,71.2,0,71.2,21'08/24
127,122,6488,環球晶,03/28,661,-10,-1.49,2022,661,15.27,8,0,8,1.21,0,1.21,52.4,0,52.4,22'02/11
128,123,6494,九齊,03/28,146.5,-2.5,-1.68,2022,146.5,17.21,8,0,8,5.46,0,5.46,46.5,0,46.5,
129,124,8341,日友,03/28,202,+2.5,+1.25,2022,202,8.47,8,0,8,3.96,0,3.96,94.5,0,94.5,
130,125,8416,實威,03/28,128,+1,+0.79,2022,128,11.35,8,0,8,6.25,0,6.25,70.5,0,70.5,
131,126,8499,鼎炫-KY,03/28,127,-3,-2.31,2022,127,,8,0,8,6.3,0,6.3,,,,
133,127,9914,美利達,03/28,228,-7.5,-3.18,2022,228,,8,0,8,3.51,0,3.51,,,,
134,128,6683,雍智科技,03/28,273.5,-6.5,-2.32,2022,273.5,15.5,7.8,0,7.8,2.85,0,2.85,50.3,0,50.3,
135,129,1303,南亞,03/28,92.2,-0.2,-0.22,2022,92.2,10.25,7.5,0,7.5,8.13,0,8.13,73.2,0,73.2,
136,130,3042,晶技,03/28,102.5,+0.5,+0.49,2022,102.5,10.06,7.5,0,7.5,7.32,0,7.32,74.6,0,74.6,
137,131,6560,欣普羅,03/28,77.8,-1.2,-1.52,2022,77.8,,5,2.5,7.5,6.43,3.21,9.64,,,,
138,132,6719,力智,03/28,642,-24,-3.6,2022,642,15.75,7.5,0,7.5,1.17,0,1.17,47.6,0,47.6,
139,133,1598,岱宇,03/28,45.75,-1.05,-2.24,2021,45.75,11.69,7.47,0,7.47,16.3,0,16.3,63.9,0,63.9,21'07/30
140,134,3044,健鼎,03/28,133.5,0,0,2021,133.5,11.65,7.35,0,7.35,5.51,0,5.51,63.1,0,63.1,21'08/11
141,135,6411,晶焱,03/28,176,-2,-1.12,2022,176,,7.22,0,7.22,4.1,0,4.1,,,,
142,136,6435,大中,03/28,154.5,+0.5,+0.32,2022,154.5,13.09,7.2,0,7.2,4.66,0,4.66,55,0,55,
143,137,9941,裕融,03/28,228,-0.5,-0.22,2022,228,12.96,5.5,1.7,7.2,2.41,0.75,3.16,42.4,13.1,55.6,
144,138,1268,漢來美食,03/28,115.5,-1,-0.86,2021,115.5,7.51,7,0,7,6.06,0,6.06,93.2,0,93.2,21'09/27
145,139,1537,廣隆,03/28,137,-0.5,-0.36,2022,137,7.58,7,0,7,5.11,0,5.11,92.3,0,92.3,
146,140,1580,新麥,03/28,107,-1,-0.93,2022,107,,7,0,7,6.54,0,6.54,,,,
147,141,2108,南帝,03/28,65.5,+1.7,+2.66,2022,65.5,14.92,7,0,7,10.7,0,10.7,46.9,0,46.9,22'04/25
148,142,2360,致茂,03/28,177.5,-1,-0.56,2022,177.5,9.96,7,0,7,3.94,0,3.94,70.3,0,70.3,
149,143,2548,華固,03/28,90.6,+0.2,+0.22,2021,90.6,10.05,7,0,7,7.73,0,7.73,69.7,0,69.7,21'06/30
150,144,3023,信邦,03/28,256.5,+3,+1.18,2022,256.5,10,7,0,7,2.73,0,2.73,70,0,70,
152,145,3357,臺慶科,03/28,120.5,-1.5,-1.23,2022,120.5,12.08,7,0,7,5.81,0,5.81,57.9,0,57.9,
153,146,3443,創意,03/28,508,-5,-0.97,2022,508,10.9,7,0,7,1.38,0,1.38,64.2,0,64.2,
154,147,3653,健策,03/28,410,+2,+0.49,2022,410,9.88,6,1,7,1.46,0.24,1.71,60.7,10.1,70.9,
155,148,5471,松翰,03/28,89.3,-1.1,-1.22,2022,89.3,8.71,7,0,7,7.84,0,7.84,80.4,0,80.4,
156,149,5603,陸海,03/28,46.4,+4.2,+9.95,2022,46.4,9.2,4,3,7,8.62,6.47,15.1,43.5,32.6,76.1,
157,150,6414,樺漢,03/28,200.5,-2.5,-1.23,2022,200.5,,7,0,7,3.49,0,3.49,,,,
158,151,8155,博智,03/28,213,+13,+6.5,2021,213,10.69,7,0,7,3.29,0,3.29,65.5,0,65.5,21'08/27
159,152,3376,新日興,03/28,82.3,-0.8,-0.96,2021,82.3,9.05,6.98,0,6.98,8.49,0,8.49,77.2,0,77.2,21'08/13
160,153,3010,華立,03/28,108.5,0,0,2022,108.5,,6.8,0,6.8,6.27,0,6.27,,,,
161,154,3596,智易,03/28,118,-3,-2.48,2022,118,8.6,6.8,0,6.8,5.76,0,5.76,79.1,0,79.1,
162,155,6239,力成,03/28,95.3,-0.4,-0.42,2022,95.3,11.54,6.8,0,6.8,7.14,0,7.14,58.9,0,58.9,
163,156,1788,杏昌,03/28,146,-1.5,-1.02,2021,146,8.72,6.77,0,6.77,4.64,0,4.64,77.6,0,77.6,21'08/26
164,157,2382,廣達,03/28,91.8,+0.3,+0.33,2022,91.8,8.73,6.6,0,6.6,7.19,0,7.19,75.6,0,75.6,
165,158,6672,騰輝電子-KY,03/28,111.5,-2,-1.76,2022,111.5,4.91,6.6,0,6.6,5.92,0,5.92,134,0,134,
166,159,4439,冠星-KY,03/28,134,-2,-1.47,2022,134,10.72,4.5,2,6.5,3.36,1.49,4.85,42,18.7,60.6,
167,160,6438,迅得,03/28,124.5,+1,+0.81,2022,124.5,10.15,6.5,0,6.5,5.22,0,5.22,64,0,64,
168,161,6486,互動,03/28,78.6,+0.4,+0.51,2022,78.6,6.73,6.5,0,6.5,8.27,0,8.27,96.6,0,96.6,
169,162,6569,醫揚,03/28,103.5,+1,+0.98,2021,103.5,6.07,5.5,1,6.5,5.31,0.97,6.28,90.6,16.5,107,21'09/29
171,163,8481,政伸,03/28,65.3,+2,+3.16,2022,65.3,6.1,6.5,0,6.5,9.95,0,9.95,107,0,107,
172,164,2006,東和鋼鐵,03/28,72.7,-0.5,-0.68,2022,72.7,5.95,6.4,0,6.4,8.8,0,8.8,108,0,108,22'04/29
173,165,2428,興勤,03/28,133,0,0,2022,133,12.31,6.3,0,6.3,4.74,0,4.74,51.2,0,51.2,
