,排  名,代號,名稱,股價  日期,成交,漲跌  價,漲跌  幅,股利  發放  年度,最後  成交  價,所屬  EPS,現金  股利,股票  股利,合計  股利,現金  殖利率,股票  殖利率,合計  殖利率,盈餘  配息率,盈餘  配股率,盈餘總  分配率,現金  股利  發放日
291,277,4107,邦特,03/28,109,+1,+0.93,2022,109,6.22,4.5,0,4.5,4.13,0,4.13,72.3,0,72.3,
292,278,4126,太醫,03/28,72.2,+0.1,+0.14,2022,72.2,5.32,4.5,0,4.5,6.23,0,6.23,84.6,0,84.6,
293,279,4557,永新-KY,03/28,74.9,-0.5,-0.66,2022,74.9,5.16,4.5,0,4.5,6.01,0,6.01,87.2,0,87.2,
294,280,4568,科際精密,03/28,71,-0.9,-1.25,2022,71,5.03,4,0.5,4.5,5.63,0.7,6.34,79.5,9.94,89.5,
295,281,4760,勤凱,03/28,80.1,+0.3,+0.38,2022,80.1,6.7,4.5,0,4.5,5.62,0,5.62,67.2,0,67.2,
296,282,5245,智晶,03/28,75.6,+0.1,+0.13,2022,75.6,4.47,4.5,0,4.5,5.95,0,5.95,101,0,101,
297,283,5288,豐祥-KY,03/28,153,0,0,2022,153,3.88,4.5,0,4.5,2.94,0,2.94,116,0,116,
298,284,5306,桂盟,03/28,188,-1.5,-0.79,2022,188,,4.5,0,4.5,2.39,0,2.39,,,,22'04/15
299,285,5347,世界,03/28,120.5,-1.5,-1.23,2022,120.5,7.21,4.5,0,4.5,3.73,0,3.73,62.4,0,62.4,
300,286,5403,中菲,03/28,72.6,+0.2,+0.28,2022,72.6,5.88,4,0.5,4.5,5.51,0.69,6.2,68,8.5,76.5,
301,287,5522,遠雄,03/28,65,0,0,2022,65,,4.5,0,4.5,6.92,0,6.92,,,,
302,288,6104,創惟,03/28,303,+15,+5.21,2022,303,6.41,4.5,0,4.5,1.49,0,1.49,70.2,0,70.2,22'04/27
304,289,6187,萬潤,03/28,142,-0.5,-0.35,2022,142,6.64,4.5,0,4.5,3.17,0,3.17,67.8,0,67.8,
305,290,6196,帆宣,03/28,157.5,+1.5,+0.96,2022,157.5,8.24,4.5,0,4.5,2.86,0,2.86,54.6,0,54.6,
306,291,6472,保瑞,03/28,174.5,-0.5,-0.29,2022,174.5,4.09,3.5,1,4.5,2.01,0.57,2.58,85.6,24.4,110,
307,292,6641,基士德-KY,03/28,63.8,0,0,2022,63.8,6.3,4.5,0,4.5,7.05,0,7.05,71.4,0,71.4,
308,293,6651,全宇昕,03/28,98,-0.6,-0.61,2022,98,7.77,4,0.5,4.5,4.08,0.51,4.59,51.5,6.44,57.9,
309,294,6654,天正國際,03/28,73.4,-0.2,-0.27,2022,73.4,6.26,4.5,0,4.5,6.13,0,6.13,71.9,0,71.9,
310,295,8114,振樺電,03/28,104.5,+2,+1.95,2022,104.5,6.21,4.5,0,4.5,4.31,0,4.31,72.5,0,72.5,
311,296,8424,惠普,03/28,69.8,-0.4,-0.57,2022,69.8,,4.5,0,4.5,6.45,0,6.45,,,,
312,297,8446,華研,03/28,86.3,-0.2,-0.23,2022,86.3,3.06,4.5,0,4.5,5.21,0,5.21,147,0,147,
313,298,9927,泰銘,03/28,46.6,-0.05,-0.11,2022,46.6,4,4.5,0,4.5,9.66,0,9.66,112,0,112,
315,300,3017,奇鋐,03/28,119,+2,+1.71,2022,119,8.21,4.3,0,4.3,3.61,0,3.61,52.4,0,52.4,
