,序號,券商,價格,買進股數,賣出股數
0,1,1040,52.0,1000,0
1,3,1041,53.6,0,1
2,5,104A,52.4,1000,0
3,7,1169,52.0,1000,0
4,9,116G,52.0,0,2000
5,11,116X,52.2,3000,0
6,13,116Z,52.2,1000,0
7,15,1260,52.1,0,5000
8,17,1440,52.1,0,3000
9,19,1440,52.4,0,6000
10,21,1470,52.1,0,1000
11,23,2180,52.1,1000,0
12,25,2180,52.4,2000,1000
13,27,5387,52.4,1000,0
14,29,5852,52.8,0,20
15,31,5856,52.0,0,1000
16,33,585m,52.2,0,1000
17,35,5926,52.2,0,5000
18,37,592a,52.5,0,473
19,39,592S,52.1,1000,0
20,41,592Z,52.0,2000,0
21,43,6012 ★,52.5,21,0
22,45,611A,52.0,1000,0
23,47,6210,52.1,0,4000
24,49,6460,52.0,0,1000
25,51,7001,52.2,1000,0
26,53,700N,52.4,1000,0
27,55,703B,52.5,1000,0
28,57,7790,52.4,0,1
29,59,8150,52.1,0,1000
30,61,815A,51.9,2000,0
31,63,815A,52.1,2000,0
32,65,815B,51.9,1000,0
33,67,8440,52.3,1000,0
34,69,845D,52.5,0,73
35,71,8560,52.0,0,1000
36,73,8562,52.5,1,0
37,75,8565,52.5,1,0
38,77,8840,52.1,1000,0
39,79,8848,52.4,0,1000
40,81,884F,52.3,100,0
41,83,884H,52.1,0,1000
42,85,884M,51.9,1000,0
43,87,884M,52.3,1000,0
44,89,8881,52.3,7,0
45,91,8882,52.5,1,0
46,93,8886,52.3,0,100
47,95,8888,52.0,1000,0
48,97,8888,52.2,111,0
49,99,8888,52.4,1000,0
50,2,1040,52.5,0,3000
51,4,1043,52.5,0,1000
52,6,1112,52.2,0,1000
53,8,116e,52.2,1000,0
54,10,116I,52.2,1000,0
55,12,116Z,52.1,1000,0
56,14,1260,52.0,0,12000
57,16,1260,52.2,0,3000
58,18,1440,52.2,1000,2000
59,20,1440,52.5,0,1000
60,22,1590,52.4,0,1000
61,24,2180,52.2,1000,0
62,26,2185,52.4,1000,0
63,28,538E,52.1,0,1000
64,30,5853,52.0,1000,0
65,32,585m,52.1,0,5000
66,34,5921,52.1,0,1000
67,36,592a,52.4,0,1000
68,38,592r,52.3,2,0
69,40,592u,52.3,1,0
70,42,592Z,52.4,4000,0
71,44,6012,53.6,35,0
72,46,6165,52.2,2000,0
73,48,6210,52.2,0,1000
74,50,6480,52.1,2000,0
75,52,700B,52.4,0,1000
76,54,7036,52.0,0,1000
77,56,7790,52.2,0,1
78,58,779J,52.0,0,2000
79,60,8156,52.5,1090,0
80,62,815A,52.0,2000,0
81,64,815A,52.2,1000,0
82,66,815Y,51.9,2000,0
83,68,845D,52.3,0,20
84,70,845D,53.6,0,1
85,72,8560,52.5,4,0
86,74,8563,52.5,3,0
87,76,8565,53.6,1,0
88,78,8847,52.3,0,300
89,80,884B,52.5,30,0
90,82,884F,52.4,1000,0
91,84,884H,52.4,24,0
92,86,884M,52.0,1000,0
93,88,884M,52.5,50,0
94,90,8881,52.4,10,0
95,92,8883,52.0,1000,0
96,94,8887,52.0,1000,0
97,96,8888,52.1,1000,0
98,98,8888,52.3,100,0
99,100,8888,52.5,1,17
100,101,8888,53.6,0,14
101,103,888A,52.3,100,13
102,105,888K,52.0,2000,0
103,107,888K,52.2,1000,0
104,109,9105,52.4,0,1000
105,111,9131,52.2,1000,0
106,113,913U,52.3,4,0
107,115,9183,52.2,1000,0
108,117,9189,52.1,1000,0
109,119,918s,52.5,1000,0
110,121,9205,52.4,1000,0
111,123,921E,52.2,2000,0
112,125,921S,52.1,0,1000
113,127,9256,52.2,1000,0
114,129,9268,52.0,5000,6000
115,131,9268,52.2,5000,0
116,133,9274,52.0,3000,0
117,135,9281,52.0,0,2000
118,137,9302,52.4,1000,0
119,139,9303,52.5,0,120
120,141,9307,52.3,1,0
121,143,9327,52.5,100,0
122,145,9604,52.2,1000,0
123,147,9623,52.4,0,1000
124,149,9627,52.2,0,4000
125,151,9636,52.1,0,2000
126,153,9655,52.0,0,10000
127,155,965U,52.4,1,0
128,157,9692,52.3,60,1000
129,159,9800,52.4,50,204
130,161,980C,52.4,0,1000
131,163,981a,52.2,0,1000
132,165,981F,52.0,0,1000
133,167,981F,52.4,0,2000
134,169,981q,52.0,0,1000
135,171,981r,52.1,2000,0
136,173,9824,52.1,0,1000
137,175,9831,52.1,2000,0
138,177,9838,52.3,0,1000
139,179,983f,52.0,0,1000
140,181,983G,52.5,0,1000
141,183,983j,52.1,0,1000
142,185,983M,52.0,1000,0
143,187,983N,52.5,0,2000
144,189,9858,52.1,2000,0
145,191,9867,52.4,1000,0
146,193,988B,52.2,0,3000
147,195,9894,52.0,2000,0
148,197,9898,52.4,1000,0
149,199,989d,52.1,1000,0
150,102,888A,52.1,4000,0
