,序號,券商,價格,買進股數,賣出股數
0,1.0,1023,71.8,0,100
1,3.0,104C,71.2,0,1000
2,5.0,116b,71.0,1000,0
3,7.0,116Q,72.0,32,0
4,9.0,1440,71.1,0,1000
5,11.0,1470,71.1,2000,0
6,13.0,1480,71.2,1000,0
7,15.0,1480,71.7,1000,0
8,17.0,1650,71.7,1000,0
9,19.0,5320,71.1,0,1000
10,21.0,538N,71.7,1000,0
11,23.0,592I,71.0,0,1000
12,25.0,592L,71.7,0,1000
13,27.0,592u,71.6,3000,0
14,29.0,6114,71.6,2000,0
15,31.0,616K,71.6,1000,0
16,33.0,700i,72.5,55,0
17,35.0,815B,72.2,51,0
18,37.0,8440,71.6,0,1000
19,39.0,845D,72.0,0,32
20,41.0,8564,71.2,1000,0
21,43.0,8585,71.6,1000,0
22,45.0,8840,71.6,1000,0
23,47.0,8888,72.5,100,0
24,49.0,920C,71.6,3000,0
25,51.0,9268,71.6,0,2000
26,53.0,9319,71.9,1,0
27,55.0,9326,71.9,21,0
28,57.0,9327,71.0,1000,0
29,59.0,9328,71.9,5,0
30,61.0,9676,71.6,4000,0
31,63.0,980C,72.4,0,43
32,65.0,982A,71.6,0,1000
33,67.0,982C,71.6,0,2000
34,69.0,989P,71.6,0,8000
35,71.0,9A9D,71.6,1000,0
36,73.0,9A9i,72.1,1,0
37,2.0,1043,72.4,0,87
38,4.0,1166,72.5,0,96
39,6.0,116d,71.6,2000,0
40,8.0,1440,71.0,0,2000
41,10.0,1440,71.6,0,1000
42,12.0,1470,71.6,2000,0
43,14.0,1480,71.5,1000,0
44,16.0,1650,71.6,1000,0
45,18.0,2180,71.0,1000,0
46,20.0,5383,71.6,0,2000
47,22.0,585D,71.5,0,1000
48,24.0,592I,71.1,0,1000
49,26.0,592o,72.2,0,50
50,28.0,601d,71.2,0,1000
51,30.0,616K,71.1,0,1000
52,32.0,6465,72.1,0,1
53,34.0,779J,72.2,0,1
54,36.0,8440,71.1,0,1000
55,38.0,8440,71.7,0,1000
56,40.0,845D,72.5,0,127
57,42.0,8565,71.7,0,1000
58,44.0,8840,71.0,1000,0
59,46.0,8882,72.4,15,0
60,48.0,888A,71.6,0,2000
61,50.0,9268,71.1,1000,0
62,52.0,9308,71.6,1000,0
63,54.0,9326,71.8,90,0
64,56.0,9326,72.4,115,0
65,58.0,9327,71.6,0,1000
66,60.0,9654,71.0,0,1000
67,62.0,980C,71.9,0,17
68,64.0,981m,71.9,0,10
69,66.0,982C,71.1,2000,0
70,68.0,989I,71.6,0,2000
71,70.0,9A9a,72.5,204,136
72,72.0,9A9i,71.8,10,0
