0,13,28.34,16.4,35.75,19.8,43.16,23.2,50.58,26.6,57.99,30,65.4,54.44  /  54.37  /  54.84  /  54.95  /  55.1,10.61  /  10.69  /  10.35  /  10.41  /  10.41,34.86  /  34.86  /  34.74  /  34.57  /  34.4,13.0  /  13.0  /  13.0  /  13.0  /  13.0
0,12,205.2,14.2,242.8,16.4,280.4,18.6,318.1,20.8,355.7,23,393.3,32.74  /  34.35  /  34.37  /  34.55  /  33.58,19.9  /  19.11  /  18.4  /  17.89  /  18.84,47.28  /  46.48  /  47.16  /  47.48  /  47.52,43.0  /  42.0  /  45.0  /  46.0  /  46.0
0,11,45.76,12.8,53.25,14.6,60.74,16.4,68.22,18.2,75.71,20,83.2,35.27  /  35.48  /  35.34  /  34.94  /  34.25,20.18  /  19.97  /  20.16  /  20.56  /  21.25,44.48  /  44.47  /  44.43  /  44.42  /  44.44,20.0  /  20.0  /  20.0  /  20.0  /  20.0
0,7,12.95,8.6,15.91,10.2,18.87,11.8,21.83,13.4,24.79,15,27.75,47.47  /  47.45  /  47.45  /  47.73  /  48.08,15.88  /  15.89  /  15.89  /  16.04  /  16.07,36.57  /  36.57  /  36.57  /  36.16  /  35.78,9.0  /  9.0  /  9.0  /  9.0  /  9.0
0,7,59.57,8.4,71.48,9.8,83.4,11.2,95.31,12.6,107.2,14,119.1,22.49  /  22.6  /  22.35  /  22.09  /  21.96,15.09  /  15.4  /  15.35  /  15.59  /  15.6,62.33  /  61.91  /  62.23  /  62.24  /  62.36,64.0  /  62.0  /  63.0  /  62.0  /  62.0
0,7,49.21,8,56.24,9,63.27,10,70.3,11,77.33,12,84.36,30.09  /  30.08  /  30.06  /  29.97  /  30.1,13.23  /  13.25  /  13.25  /  13.35  /  13.21,56.62  /  56.62  /  56.62  /  56.62  /  56.62,11.0  /  11.0  /  11.0  /  11.0  /  11.0
0,7,92.68,7.8,103.3,8.6,113.9,9.4,124.5,10.2,135,11,145.6,11.8  /  11.73  /  11.51  /  11.47  /  11.86,6.33  /  6.31  /  6.32  /  6.32  /  6.37,81.79  /  81.87  /  82.09  /  82.12  /  81.71,599.0  /  597.0  /  599.0  /  599.0  /  597.0
0,10,73,11.4,83.22,12.8,93.44,14.2,103.7,15.6,113.9,17,124.1,14.38  /  14.3  /  14.11  /  13.94  /  13.82,10.6  /  10.92  /  10.66  /  11.15  /  10.92,74.94  /  74.72  /  75.16  /  74.83  /  75.2,72.0  /  70.0  /  72.0  /  69.0  /  70.0
0,10,38.7,11,42.57,12,46.44,13,50.31,14,54.18,15,58.05,48.76  /  48.86  /  48.73  /  48.33  /  48.2,18.47  /  18.88  /  19.08  /  19.47  /  18.54,32.71  /  32.16  /  32.11  /  32.11  /  33.17,21.0  /  20.0  /  20.0  /  20.0  /  22.0
0,9,34.83,10.2,39.47,11.4,44.12,12.6,48.76,13.8,53.41,15,58.05,49.85  /  50.77  /  50.24  /  49.83  /  49.58,22.81  /  23.23  /  22.83  /  22.94  /  23.27,27.24  /  25.94  /  26.86  /  27.15  /  27.06,33.0  /  31.0  /  33.0  /  33.0  /  32.0
0,8,93.92,9.2,108,10.4,122.1,11.6,136.2,12.8,150.3,14,164.4,8.95  /  8.95  /  9.08  /  9.2  /  9.3,14.43  /  14.5  /  14.27  /  14.06  /  13.96,76.54  /  76.49  /  76.56  /  76.68  /  76.67,87.0  /  87.0  /  89.0  /  89.0  /  90.0
0,8,34.32,9.6,41.18,11.2,48.05,12.8,54.91,14.4,61.78,16,68.64,38.28  /  39.21  /  39.33  /  39.84  /  40.77,22.07  /  21.59  /  21.65  /  21.27  /  19.98,39.58  /  39.15  /  38.95  /  38.83  /  39.18,20.0  /  20.0  /  20.0  /  20.0  /  21.0
0,9,32.04,10,35.6,11,39.16,12,42.72,13,46.28,14,49.84,48.4  /  48.51  /  48.5  /  48.38  /  48.24,22.17  /  22.44  /  22.93  /  23.0  /  23.07,29.36  /  28.97  /  28.52  /  28.54  /  28.63,19.0  /  18.0  /  17.0  /  17.0  /  17.0
0,15,47.1,18,56.52,21,65.94,24,75.36,27,84.78,30,94.2,35.7  /  36.38  /  35.22  /  35.33  /  35.65,16.76  /  16.4  /  17.36  /  17.31  /  17.0,47.47  /  47.14  /  47.35  /  47.3  /  47.25,12.0  /  12.0  /  12.0  /  12.0  /  12.0
0,9,55.71,9.8,60.66,10.6,65.61,11.4,70.57,12.2,75.52,13,80.47,16.07  /  16.14  /  16.43  /  16.64  /  16.83,10.77  /  10.91  /  10.85  /  10.94  /  10.86,73.07  /  72.89  /  72.66  /  72.33  /  72.25,184.0  /  183.0  /  184.0  /  182.0  /  182.0
0,9,92.88,10.4,107.3,11.8,121.8,13.2,136.2,14.6,150.7,16,165.1,39.47  /  39.55  /  39.52  /  39.74  /  39.59,14.66  /  14.7  /  14.92  /  14.71  /  14.66,45.82  /  45.69  /  45.49  /  45.47  /  45.68,72.0  /  72.0  /  69.0  /  70.0  /  69.0
0,9,52.47,10.2,59.47,11.4,66.46,12.6,73.46,13.8,80.45,15,87.45,49.35  /  49.49  /  48.87  /  49.02  /  48.67,18.79  /  19.34  /  19.25  /  19.6  /  19.72,31.8  /  31.12  /  31.81  /  31.31  /  31.56,59.0  /  56.0  /  58.0  /  56.0  /  56.0
0,7,46.97,8.2,55.02,9.4,63.07,10.6,71.13,11.8,79.18,13,87.23,48.95  /  48.69  /  48.35  /  48.5  /  48.12,19.79  /  20.26  /  20.37  /  20.31  /  20.22,31.18  /  30.99  /  31.19  /  31.11  /  31.59,41.0  /  41.0  /  42.0  /  41.0  /  41.0
0,9,53.55,10.8,64.26,12.6,74.97,14.4,85.68,16.2,96.39,18,107.1,23.88  /  23.27  /  22.49  /  21.05  /  22.13,12.23  /  12.79  /  12.87  /  12.03  /  12.41,63.81  /  63.87  /  64.59  /  66.85  /  65.38,89.0  /  90.0  /  93.0  /  97.0  /  89.0
0,6,36.66,7,42.77,8,48.88,9,54.99,10,61.1,11,67.21,41.59  /  41.67  /  40.67  /  40.82  /  40.74,24.76  /  24.76  /  23.95  /  23.2  /  23.62,33.59  /  33.5  /  35.31  /  35.92  /  35.57,36.0  /  36.0  /  37.0  /  39.0  /  38.0
