,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
1055,3118,15888,41.199999999999996,14,6.78,10,8.46,8,13.780000000000001,2,5.55,4,24.16
1056,3122,20096,62.91,20,7.19,11,8.1,4,5.51,0,0.0,3,16.22
1057,3126,2708,32.25,41,11.89,23,13.01,13,14.280000000000001,1,1.66,2,26.87
1058,3128,18159,45.85,28,9.35,15,9.4,4,5.43,0,0.0,6,29.89
1059,3130,2782,12.27,3,1.35,7,7.38,5,8.71,1,2.71,7,67.52
1060,3131,11500,38.2,11,5.02,10,10.23,2,4.26,0,0.0,6,42.23
1061,3133,467,19.419999999999998,13,6.54,11,10.8,5,9.95,2,6.39,7,46.84
1062,3135,579,10.5,16,5.49,4,2.69,8,11.6,0,0.0,8,69.66
1063,3137,77,67.5,2,15.85,1,16.59,0,0.0,0,0.0,0,0.0
1064,3138,13223,63.86000000000001,14,4.29,11,6.91,2,2.01,1,1.77,4,21.08
1065,3141,22812,49.06,25,5.18,23,8.72,14,10.79,4,4.66,10,21.52
1066,3142,5018,27.990000000000002,128,8.97,86,11.74,35,9.39,9,3.67,31,38.17
1067,3144,2256,6.71,13,1.87,3,0.89,0,0.0,1,0.99,2,89.47
1068,3146,7,7.000000000000001,7,36.43,3,40.28,1,16.24,0,0.0,0,0.0
1069,3147,1983,26.38,14,5.36,11,8.12,12,17.3,2,4.71,8,38.05
1070,3149,34745,47.50999999999999,74,5.13,26,3.39,18,5.220000000000001,1,0.39,13,38.29
1071,3150,1358,30.349999999999998,16,7.36,8,7.13,3,5.48,1,2.91,4,46.71
1072,3151,640,26.53,12,10.88,8,12.78,1,4.11,0,0.0,3,45.64
1073,3152,6267,25.55,23,4.4,25,11.33,4,3.79,3,4.11,17,50.75
1074,3158,628,26.5,19,10.51,18,20.11,2,3.57,1,3.55,3,35.7
1075,3159,482,48.17,5,13.61,2,9.61,1,8.19,0,0.0,1,20.34
1076,3161,160,3.7399999999999998,2,1.04,0,0.0,4,7.3,2,5.37,9,82.47
1077,3162,5953,22.310000000000002,43,5.36,36,9.29,16,8.28,2,1.62,5,53.06
1078,3163,24502,66.88000000000001,34,6.59,14,5.13,6,3.81,3,3.6,5,13.91
1079,3164,16671,28.93,32,5.2,20,6.07,12,8.23,7,7.27,17,44.24
1080,3166,94,31.18,2,8.66,1,9.2,1,18.49,1,32.41,0,0.0
1081,3167,3855,23.83,51,8.86,15,5.43,12,9.13,3,3.43,11,49.23
1082,3168,526,8.14,27,5.35,18,7.67,12,9.61,4,5.4,9,63.75
1083,3169,14931,44.10999999999999,33,7.28,16,6.56,16,12.19,1,1.38,4,28.41
1084,3171,3054,16.05,13,2.76,8,2.8,4,3.5999999999999996,0,0.0,5,74.72
1085,3176,30267,58.63999999999999,55,5.34,27,5.17,10,3.8200000000000003,2,1.24,11,25.7
1086,3177,207,17.200000000000003,0,0.0,1,7.84,1,14.38,0,0.0,1,60.52
1087,3178,4938,31.650000000000002,10,2.93,2,1.44,3,3.11,0,0.0,7,60.81
1088,3179,85,21.36,13,19.7,10,28.52,3,14.28,0,0.0,1,16.07
1089,3184,830,13.32,34,5.86,23,7.89,14,9.530000000000001,0,0.0,13,63.34
1090,3185,29,28.03,2,43.39,1,28.54,0,0.0,0,0.0,0,0.0
1091,3186,2290,20.61,3,1.16,1,0.7,0,0.0,0,0.0,2,77.46
1092,3188,4092,13.9,40,4.49,12,2.91,13,5.3100000000000005,2,1.44,14,71.89
1093,3189,23144,11.889999999999999,81,2.52,80,5.15,42,5.3100000000000005,12,2.39,48,72.65
1094,3190,43,6.390000000000001,7,6.39,9,15.26,1,3.53,0,0.0,4,68.37
1095,3191,14213,51.29,46,11.14,19,8.84,5,4.95,4,6.51,5,17.2
1096,3192,6,53.95,1,46.02,0,0.0,0,0.0,0,0.0,0,0.0
1097,3193,14,99.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1098,3196,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1099,3202,22775,58.48,57,7.02,26,5.84,18,7.99,2,1.52,12,19.09
1100,3205,18153,57.85,7,3.26,3,2.67,1,1.85,3,8.41,5,25.88
1101,3206,13398,42.06,31,7.29,11,5.41,10,9.52,1,1.46,10,34.18
1102,3207,10628,52.56,24,7.56,14,8.87,10,12.379999999999999,1,2.27,3,16.3
