,級距1倍數,級距1價格,級距2倍數,級距2價格,級距3倍數,級距3價格,級距4倍數,級距4價格,級距5倍數,級距5價格,級距6倍數,級距6價格, 100張以下比例,	100-1000張比例,	1000張以上比例,	1000張以上人數
0,12,205.2,14.2,242.8,16.4,280.4,18.6,318.1,20.8,355.7,23,393.3,34.55  /  33.58  /  33.66  /  33.77  /  34.64,17.89  /  18.84  /  18.91  /  19.04  /  19.72,47.48  /  47.52  /  47.35  /  47.12  /  45.57,46.0  /  46.0  /  46.0  /  46.0  /  43.0
0,11,45.76,12.8,53.25,14.6,60.74,16.4,68.22,18.2,75.71,20,83.2,34.94  /  34.25  /  34.38  /  34.53  /  34.46,20.56  /  21.25  /  21.29  /  21.31  /  21.75,44.42  /  44.44  /  44.26  /  44.08  /  43.69,20.0  /  20.0  /  20.0  /  20.0  /  20.0
0,7,59.57,8.4,71.48,9.8,83.4,11.2,95.31,12.6,107.2,14,119.1,22.09  /  21.96  /  21.79  /  21.62  /  20.97,15.59  /  15.6  /  15.63  /  15.39  /  15.43,62.24  /  62.36  /  62.5  /  62.92  /  63.53,62.0  /  62.0  /  62.0  /  64.0  /  65.0
0,7,49.21,8,56.24,9,63.27,10,70.3,11,77.33,12,84.36,29.97  /  30.1  /  29.84  /  29.69  /  29.57,13.35  /  13.21  /  13.48  /  13.62  /  13.74,56.62  /  56.62  /  56.62  /  56.62  /  56.62,11.0  /  11.0  /  11.0  /  11.0  /  11.0
0,7,92.68,7.8,103.3,8.6,113.9,9.4,124.5,10.2,135,11,145.6,11.47  /  11.86  /  11.85  /  11.97  /  11.88,6.32  /  6.37  /  6.36  /  6.4  /  6.35,82.12  /  81.71  /  81.73  /  81.54  /  81.7,599.0  /  597.0  /  594.0  /  592.0  /  594.0
0,10,73,11.4,83.22,12.8,93.44,14.2,103.7,15.6,113.9,17,124.1,13.94  /  13.82  /  13.87  /  13.84  /  13.77,11.15  /  10.92  /  10.73  /  10.67  /  10.58,74.83  /  75.2  /  75.35  /  75.4  /  75.57,69.0  /  70.0  /  71.0  /  71.0  /  71.0
0,10,38.7,11,42.57,12,46.44,13,50.31,14,54.18,15,58.05,48.33  /  48.2  /  47.92  /  47.76  /  48.1,19.47  /  18.54  /  18.17  /  19.17  /  18.74,32.11  /  33.17  /  33.85  /  32.98  /  33.08,20.0  /  22.0  /  23.0  /  21.0  /  21.0
0,9,34.83,10.2,39.47,11.4,44.12,12.6,48.76,13.8,53.41,15,58.05,49.83  /  49.58  /  49.1  /  48.08  /  50.35,22.94  /  23.27  /  23.19  /  22.9  /  23.58,27.15  /  27.06  /  27.63  /  28.92  /  26.0,33.0  /  32.0  /  33.0  /  36.0  /  31.0
0,8,93.92,9.2,108,10.4,122.1,11.6,136.2,12.8,150.3,14,164.4,9.2  /  9.3  /  9.36  /  9.49  /  9.4,14.06  /  13.96  /  13.95  /  13.67  /  13.44,76.68  /  76.67  /  76.62  /  76.77  /  77.09,89.0  /  90.0  /  90.0  /  91.0  /  91.0
0,8,34.32,9.6,41.18,11.2,48.05,12.8,54.91,14.4,61.78,16,68.64,39.84  /  40.77  /  40.62  /  40.8  /  41.12,21.27  /  19.98  /  21.23  /  20.53  /  19.72,38.83  /  39.18  /  38.08  /  38.6  /  39.06,20.0  /  21.0  /  19.0  /  20.0  /  20.0
0,9,32.04,10,35.6,11,39.16,12,42.72,13,46.28,14,49.84,48.38  /  48.24  /  48.28  /  48.46  /  48.46,23.0  /  23.07  /  23.0  /  22.79  /  22.76,28.54  /  28.63  /  28.66  /  28.67  /  28.71,17.0  /  17.0  /  17.0  /  16.0  /  16.0
0,15,47.1,18,56.52,21,65.94,24,75.36,27,84.78,30,94.2,35.33  /  35.65  /  35.36  /  35.42  /  35.39,17.31  /  17.0  /  17.47  /  17.48  /  17.63,47.3  /  47.25  /  47.09  /  47.02  /  46.91,12.0  /  12.0  /  12.0  /  12.0  /  12.0
0,9,55.71,9.8,60.66,10.6,65.61,11.4,70.57,12.2,75.52,13,80.47,16.64  /  16.83  /  16.78  /  16.8  /  16.61,10.94  /  10.86  /  10.79  /  10.8  /  11.01,72.33  /  72.25  /  72.36  /  72.32  /  72.3,182.0  /  182.0  /  182.0  /  182.0  /  178.0
0,8,82.56,9.4,97.01,10.8,111.5,12.2,125.9,13.6,140.4,15,154.8,39.74  /  39.59  /  39.53  /  40.41  /  40.34,14.71  /  14.66  /  14.3  /  14.44  /  14.62,45.47  /  45.68  /  46.08  /  45.06  /  44.97,70.0  /  69.0  /  73.0  /  69.0  /  70.0
0,9,52.47,10.2,59.47,11.4,66.46,12.6,73.46,13.8,80.45,15,87.45,49.02  /  48.67  /  48.59  /  48.41  /  48.31,19.6  /  19.72  /  19.61  /  20.04  /  20.38,31.31  /  31.56  /  31.71  /  31.47  /  31.24,56.0  /  56.0  /  56.0  /  55.0  /  54.0
0,7,46.97,8.2,55.02,9.4,63.07,10.6,71.13,11.8,79.18,13,87.23,48.5  /  48.12  /  48.41  /  49.35  /  49.33,20.31  /  20.22  /  20.62  /  20.29  /  19.93,31.11  /  31.59  /  30.89  /  30.29  /  30.65,41.0  /  41.0  /  40.0  /  41.0  /  43.0
0,9,53.55,10.8,64.26,12.6,74.97,14.4,85.68,16.2,96.39,18,107.1,21.05  /  22.13  /  22.27  /  23.01  /  23.5,12.03  /  12.41  /  12.39  /  12.24  /  12.87,66.85  /  65.38  /  65.28  /  64.67  /  63.57,97.0  /  89.0  /  88.0  /  90.0  /  89.0
0,6,36.66,7,42.77,8,48.88,9,54.99,10,61.1,11,67.21,40.82  /  40.74  /  40.81  /  41.01  /  41.11,23.2  /  23.62  /  23.57  /  23.48  /  23.37,35.92  /  35.57  /  35.53  /  35.45  /  35.42,39.0  /  38.0  /  38.0  /  38.0  /  38.0
