,序號,券商,價格,買進股數,賣出股數
0,1.0,1035,49.5,0,3000
1,3.0,1041,49.55,0,1000
2,5.0,104A,49.65,1000,0
3,7.0,116A,49.6,0,1000
4,9.0,116d,49.65,0,1000
5,11.0,116S,49.8,100,0
6,13.0,1440,49.6,1000,0
7,15.0,1470,49.6,0,3000
8,17.0,1480,49.55,2000,1000
9,19.0,1480,49.7,3000,0
10,21.0,1480,49.8,1000,0
11,23.0,1480,49.9,2000,0
12,25.0,1480,50.0,1000,0
13,27.0,1520,49.55,2000,0
14,29.0,1520,49.7,1000,0
15,31.0,1560,49.85,1000,0
16,33.0,1590,49.6,2000,0
17,35.0,1590,49.7,1000,0
18,37.0,1650,49.6,1000,0
19,39.0,2185,49.6,0,1000
20,41.0,526K,49.6,0,2000
21,43.0,5389,49.6,0,1000
22,45.0,5604,49.6,6000,0
23,47.0,5604,49.7,1000,0
24,49.0,5850,50.0,0,1000
25,51.0,585D,49.25,10,0
26,53.0,585M,49.6,0,1000
27,55.0,585Z,49.45,2000,0
28,57.0,585Z,49.55,1000,0
29,59.0,585Z,49.7,7000,0
30,61.0,592a,49.45,177,0
31,63.0,592q,49.5,1000,0
32,65.0,592r,49.95,1000,0
33,67.0,601d,49.7,4000,0
34,69.0,6160,49.6,3000,0
35,71.0,616K,49.55,1000,0
36,73.0,638D,49.45,0,2000
37,75.0,6460,49.8,0,100
38,77.0,7003,49.6,0,1000
39,79.0,7006,49.9,0,1000
40,81.0,700B,49.65,3000,1000
41,83.0,700B,49.75,0,2000
42,85.0,700B,49.9,0,1000
43,87.0,700g,49.6,5000,0
44,89.0,703B,49.6,0,1000
45,91.0,703B,49.7,0,1000
46,93.0,7790,49.7,0,50
47,95.0,779P,49.8,0,1000
48,97.0,815A,49.8,3,0
49,99.0,8440,49.45,1000,0
50,2.0,103A,49.6,0,1000
51,4.0,1043,49.6,0,2000
52,6.0,1165,49.9,0,1000
53,8.0,116C,49.75,0,18
54,10.0,116S,49.65,0,2040
55,12.0,126i,49.7,0,1000
56,14.0,1440,49.8,0,1000
57,16.0,1470,49.9,2000,0
58,18.0,1480,49.6,0,1000
59,20.0,1480,49.75,1000,0
60,22.0,1480,49.85,1000,0
61,24.0,1480,49.95,3000,0
62,26.0,1520,49.45,1000,0
63,28.0,1520,49.65,1000,0
64,30.0,1520,49.9,1000,0
65,32.0,1590,49.45,2000,0
66,34.0,1590,49.65,1000,0
67,36.0,1650,49.45,1000,0
68,38.0,1650,49.9,4000,0
69,40.0,2186,49.75,2000,0
70,42.0,5323,49.5,0,2000
71,44.0,5602,49.65,1000,0
72,46.0,5604,49.65,3000,0
73,48.0,5850,49.95,0,1000
74,50.0,5857,49.5,0,3000
75,52.0,585m,49.45,58,0
76,54.0,585Z,49.4,1000,0
77,56.0,585Z,49.5,4000,0
78,58.0,585Z,49.6,1000,0
79,60.0,5923,49.8,1,0
80,62.0,592P,49.6,0,2000
81,64.0,592r,49.8,0,1000
82,66.0,601d ,49.55,6000,0
83,68.0,601d,49.75,4000,0
84,70.0,616K,49.5,0,1000
85,72.0,638D,49.4,0,1000
86,74.0,6460,49.6,1000,0
87,76.0,6462,49.65,1000,0
88,78.0,7003,49.75,0,1000
89,80.0,700B,49.6,0,1000
90,82.0,700B,49.7,0,1000
91,84.0,700B,49.85,0,2000
92,86.0,700B,49.95,0,1000
93,88.0,700r,49.4,0,2000
94,90.0,703B,49.65,0,1000
95,92.0,703B,49.75,0,1000
96,94.0,779D,49.75,0,1000
97,96.0,8150,49.5,0,1000
98,98.0,8440,49.4,2000,0
99,100.0,8440,49.5,2000,0
100,101.0,8440,49.55,2000,0
101,103.0,8440,49.65,2000,0
102,105.0,8440,49.8,0,1000
103,107.0,8440,49.9,9000,0
104,109.0,8560,49.25,0,300
105,111.0,8560,49.55,1,0
106,113.0,8561,49.8,1,22
107,115.0,8564,49.4,0,1000
108,117.0,8565,49.55,200,0
109,119.0,8840,49.55,0,300
110,121.0,8842,49.8,0,1000
111,123.0,8883,49.6,5000,0
112,125.0,8888,49.45,0,101
113,127.0,8888,49.65,0,1000
114,129.0,8888,49.8,50,0
115,131.0,9131,49.75,0,1000
116,133.0,913N,49.9,0,5000
117,135.0,918B,49.8,1,0
118,137.0,918E,49.45,1,0
119,139.0,918H,49.9,1000,0
120,141.0,9200,49.6,0,5000
121,143.0,9200,49.7,0,4000
122,145.0,9204,49.8,1,0
123,147.0,9209,49.7,0,5000
124,149.0,9218,49.7,1000,0
125,151.0,9224,49.9,3000,0
126,153.0,9234,49.6,0,2000
127,155.0,9252,49.9,0,1000
128,157.0,9257,49.9,0,9000
129,159.0,9268,49.5,2000,0
130,161.0,9268,49.6,6000,1000
131,163.0,9268,49.85,1000,0
132,165.0,9288,49.7,0,1000
133,167.0,9302,49.45,0,3000
134,169.0,9302,49.6,0,1000
135,171.0,9303,49.55,1000,0
136,173.0,9326,49.8,1,0
137,175.0,9604,49.5,0,2000
138,177.0,9623,49.7,0,30
139,179.0,9627,49.7,3000,0
140,181.0,9657,49.45,0,100
141,183.0,965K,49.5,3000,0
142,185.0,9667,49.55,1,0
143,187.0,9800,49.55,0,10000
144,189.0,9800,49.65,3000,5000
145,191.0,980K,49.55,1,0
146,193.0,981a,49.6,0,2000
147,195.0,981D,49.65,0,1000
148,197.0,981F,49.75,4,0
149,199.0,981g,49.75,35,0
150,102.0,8440,49.6,2000,0
151,104.0,8440,49.7,1000,0
152,106.0,8440,49.85,2000,1000
153,108.0,8440,49.95,1000,0
154,110.0,8560,49.4,1000,0
155,112.0,8560,49.7,50,0
156,114.0,8561,49.9,1000,0
157,116.0,8564,49.45,2,2000
158,118.0,8584,49.65,0,1000
159,120.0,8840,49.65,0,160
160,122.0,8882,49.8,1,0
161,124.0,8885,49.6,0,1000
162,126.0,8888,49.55,41,0
163,128.0,8888,49.75,1000,0
164,130.0,888K,49.65,1000,0
165,132.0,9131,49.8,0,2000
166,134.0,913R,49.8,1,0
167,136.0,918D,49.7,0,1000
168,138.0,918E,49.8,1,0
169,140.0,918u,49.6,0,1000
170,142.0,9200,49.65,0,1000
171,144.0,9204,49.55,1000,0
172,146.0,9205,49.6,0,2000
173,148.0,920F,49.65,300,0
174,150.0,921E,49.6,0,2000
175,152.0,922H,49.65,1000,0
176,154.0,9235,49.55,0,2000
