公司名稱,證券代號,股本(億),上市日期,成交價,殖利率(%),本益比,股價淨值比,營收累計年增率,毛利率,營業利益率,稅前淨利率,稅後淨利率,本業收益,ROE,董監持股比,每股營業現金流量,每股自由現金流量,級距1倍數,級距1價格,級距2倍數,級距2價格,級距3倍數,級距3價格,級距4倍數,級距4價格,級距5倍數,級距5價格,級距6倍數,級距6價格,
神基投資控股股份有限公司,3005,59.5461,20020225,53.9,6.66,7.42,1.87,9.33,24.9,8.01,20.46,15.8,39.15,25.5,34.50%,0.9,4.06,10X,73,11.4X,83.22,12.8X,93.44,11.4X,103.7,15.6X,113.9,17X,124.1,1
聲寶股份有限公司,1604,38.72,19701214,29.55,8.46,6.38,1.3,12.1,17.7,7.61,26.84,25,28.35,26,5.60%,25.5,3.61,7X,32.13,8.2X,37.64,9.4X,43.15,8.2X,48.65,11.8X,54.16,13X,59.67,1
台達化學工業股份有限公司,1309,37.8654,19860627,34,8.82,5.87,1.76,40.1,16.4,11.2,11.88,9.05,94.28,27.3,39.40%,1.75,1.57,8X,46.32,11.4X,66.01,14.8X,85.69,11.4X,105.4,21.6X,125.1,25X,144.8,1
美亞鋼管廠股份有限公司,2020,22.2526,19930427,32.4,5.25,9.1,2.02,32.3,14.3,9.47,16.52,14.1,57.32,27.5,16.70%,45.73,0.56,12X,42.72,14.8X,52.69,17.6X,62.66,14.8X,72.62,23.2X,82.59,26X,92.56,1
益登科技股份有限公司,3048,24.483,20021001,31.85,9.11,7.42,1.96,1.17,3.24,1.5,1.3,1.04,115.38,27.8,21.30%,-2.51,26.73,8X,34.32,9.6X,41.18,11.2X,48.05,9.6X,54.91,14.4X,61.78,16X,68.64,1
力山工業股份有限公司,1515,18.1474,19950204,59,6.1,9.29,2.75,84.8,13.8,8.14,7.63,6.12,106.68,28.2,12.10%,7.24,2.77,12X,76.2,15.6X,99.06,19.2X,121.9,15.6X,144.8,26.4X,167.6,30X,190.5,1
嘉威生活股份有限公司,3557,8.03,20080227,76.8,7.81,9.67,2.63,10.7,37,12.8,12.13,11.6,105.52,28.4,17.50%,102.6,2.69,0.5X,4.33,6.4X,55.42,12.3X,106.5,6.4X,157.6,24.1X,208.7,30X,259.8,0
聯強國際股份有限公司,2347,166.7947,19951213,62,5.32,6.19,1.75,20.8,4.4,2.29,6.79,5.12,33.73,32.9,18%,-2.93,24.6,9X,90.18,10.2X,102.2,11.4X,114.2,10.2X,126.3,13.8X,138.3,15X,150.3,1
海悅國際開發股份有限公司,2348,13.6462,19960105,108,7.41,8.65,2.92,64.5,59.8,44.3,44.12,33.9,100.41,35.8,19.20%,-43.18,-47.82,0.5X,8,3.2X,51.2,5.9X,94.4,3.2X,137.6,11.3X,180.8,14X,224,0
義隆電子股份有限公司,2458,30.388,20010917,160.5,5.61,9.19,4.81,26.4,49.8,32,32.97,26.3,97.06,52.1,6%,5.18,20.3,12X,205.2,14.2X,242.8,16.4X,280.4,14.2X,318.1,20.8X,355.7,15X,393.3,1
