,證券代號,100張以下人數,100張以下比例,101-200張人數,101-200張比例,201-400張人數,201-400張比例,401-800張人數,401-800張比例,801-1000張人數,801-1000張比例,1000張以上人數,1000張以上比例
503,1814,442,10.21,3,2.62,8,11.24,3,7.14,2,9.55,6,59.16
504,1815,63954,54.19,187,6.13,77,4.89,26,3.5599999999999996,11,2.36,30,28.79
505,1816,899,20.18,4,7.85,1,5.27,1,5.96,0,0.0,2,60.68
506,1817,4382,23.31,32,6.09,32,12.27,9,7.58,3,3.83,19,46.86
507,1818,125,3.59,10,3.24,4,2.8,3,3.8100000000000005,2,4.06,11,82.43
508,1819,104,5.03,9,4.48,8,7.89,5,10.77,2,6.5,9,65.24
509,1903,19863,9.129999999999999,54,2.93,26,2.85,16,3.18,8,2.77,37,79.05
510,1904,198954,24.550000000000008,297,3.72,115,2.93,59,2.85,19,1.53,83,64.35
511,1905,79740,23.499999999999996,131,1.63,46,1.19,25,1.31,7,0.56,27,71.73
512,1906,9153,18.449999999999996,39,3.71,23,4.5,13,4.74,1,0.56,11,67.96
513,1907,97536,14.59,223,1.86,137,2.31,63,2.13,18,0.99,109,78.05
514,1907A,37,99.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
515,1909,80141,23.83,253,2.77,136,2.95,59,2.54,14,1.0,79,66.84
516,1918,31720,67.86,106,6.49,56,6.49,9,2.16,2,0.78,15,16.15
517,2002,1058417,27.909999999999997,4152,3.65,2113,3.67,718,2.41,105,0.59,517,61.7
518,2002A,4858,49.83,27,10.4,9,6.34,6,9.42,1,2.61,5,21.35
519,2006,63784,24.639999999999997,182,3.4,84,3.18,46,3.59,16,1.99,65,63.12
520,2007,39148,20.22,45,1.2,30,1.66,6,0.64,2,0.34,5,75.87
521,2008,11651,10.96,22,1.47,9,1.26,1,0.27,2,0.99,13,85.0
522,2009,49492,39.17,37,1.49,12,1.09,14,2.06,1,0.22,6,55.89
523,2010,49060,28.639999999999997,120,2.62,74,3.31,43,3.74,5,0.67,61,60.95
524,2012,22548,13.650000000000002,45,2.23,36,3.66,35,7.09,6,1.78,35,71.53
525,2013,23337,26.479999999999997,29,2.19,17,2.43,6,1.92,0,0.0,16,66.92
526,2014,160399,37.79,254,2.46,87,1.69,46,1.75,9,0.58,46,55.66
527,2015,11736,5.85,74,1.99,65,3.13,46,4.41,18,2.83,89,81.72
528,2017,40246,30.11,50,2.01,32,2.54,6,1.03,0,0.0,32,64.26
529,2020,33082,34.97,48,3.05,16,1.88,22,5.75,8,3.2,28,51.08
530,2022,75944,63.38,129,3.76,51,3.01,23,2.83,3,0.56,25,26.36
531,2023,129382,25.05,243,1.78,105,1.59,47,1.3499999999999999,14,0.66,87,69.5
532,2024,21166,21.160000000000004,21,3.07,8,2.07,6,2.82,0,0.0,12,70.82
533,2025,29999,48.76,162,8.3,65,6.51,16,3.05,11,3.45,14,29.84
534,2027,167387,34.92999999999999,450,3.13,185,2.57,110,2.9699999999999998,19,0.86,148,55.46
535,2028,27036,18.07,18,0.76,18,1.58,9,1.71,1,0.25,17,77.56
536,2029,18450,22.720000000000002,43,1.93,24,2.3,16,2.77,0,0.0,11,70.23
537,2030,51963,54.87,80,3.8,31,2.96,17,3.2300000000000004,5,1.49,18,33.6
538,2031,53314,42.120000000000005,68,3.04,41,3.57,34,5.87,5,1.38,32,43.94
539,2032,15155,37.61,43,4.67,18,3.95,16,7.04,1,0.62,13,46.03
540,2033,8644,29.730000000000008,16,2.68,11,3.76,1,0.62,8,9.1,12,54.03
541,2034,45625,44.489999999999995,113,3.57,67,4.24,32,3.74,5,1.04,40,42.85
542,2035,12000,2.69,10,0.38,2,0.18,1,0.21,0,0.0,23,96.51
543,2038,21492,42.290000000000006,36,2.96,14,2.18,10,2.6799999999999997,2,0.96,12,48.86
544,2049,43855,18.610000000000003,92,3.79,64,5.08,58,9.57,10,2.62,59,60.26
545,2052R,5720,84.57000000000001,2,2.46,1,2.75,2,10.17,0,0.0,0,0.0
546,2056,214,3.1500000000000004,3,0.41,15,4.12,7,4.6,3,2.53,31,85.12
547,2058,37905,55.02,249,10.99,110,9.84,37,6.1,5,1.47,21,16.51
548,2059,1912,8.99,32,4.42,20,6.05,13,7.38,3,2.84,18,70.24
549,2060,123,20.11,17,18.87,2,5.18,0,0.0,1,8.07,2,47.7
550,2061,4662,30.049999999999997,25,7.72,14,7.95,6,7.25,0,0.0,9,46.96
551,2062,8258,22.990000000000002,70,4.85,38,5.4,22,6.0,1,0.46,16,60.21
552,2063,2430,24.199999999999996,30,8.76,14,8.57,13,17.08,4,8.49,8,32.83
553,2064,1732,11.05,12,2.31,8,3.33,11,7.52,0,0.0,17,75.72
554,2065,5725,44.71,25,6.26,6,2.84,7,7.710000000000001,5,8.23,5,30.17
555,2066,1835,16.49,7,2.37,6,4.58,2,3.84,2,4.73,9,67.92
556,2067,1834,22.720000000000002,24,7.21,18,10.76,9,11.4,0,0.0,6,47.85
557,2069,16379,35.949999999999996,40,3.23,28,4.86,11,4.15,1,0.54,19,51.21
558,2070,1348,20.32,7,2.91,11,8.59,4,5.4,0,0.0,10,62.71
559,2071,274,7.32,4,1.09,7,4.57,2,2.74,2,4.46,9,79.77
560,2072,1776,10.34,26,3.8,21,5.9,6,2.9299999999999997,4,3.44,7,73.53
561,2073,189,7.74,6,3.69,8,9.96,3,7.14,1,4.0,3,67.42
562,2101,27478,16.67,241,3.97,110,3.65,60,4.16,12,1.32,66,70.15
563,2102,48018,15.059999999999997,109,3.19,57,3.45,29,3.26,6,1.1,40,73.87
564,2103,67586,24.04,173,2.88,86,2.89,40,2.74,7,0.8,69,66.58
565,2104,87919,37.96,397,5.58,161,4.64,73,4.07,15,1.37,58,46.31
566,2105,98092,16.48,477,2.07,216,1.88,148,2.55,21,0.57,194,76.37
567,2106,31662,13.77,138,2.03,86,2.67,33,2.02,12,1.22,78,78.22
568,2107,44943,36.82,107,4.48,50,4.64,23,3.5999999999999996,6,1.6,41,48.79
569,2108,42924,19.82,81,2.37,50,2.86,36,4.3,9,1.68,49,68.91
570,2109,17091,17.64,92,4.44,47,4.5,35,7.460000000000001,6,1.95,27,63.95
571,2113,14,99.97000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
572,2114,5302,24.02,37,6.68,18,6.47,6,4.16,1,1.03,16,57.56
573,2115,3324,16.409999999999997,25,3.58,12,3.39,14,7.62,1,0.88,22,68.03
574,2201,86581,25.45,242,3.3,128,3.6,59,3.2199999999999998,10,0.87,57,63.48
575,2204,34091,14.9,118,2.87,65,3.37,32,3.34,6,0.95,36,74.47
576,2206,46597,16.019999999999996,134,2.4,87,2.91,56,3.94,11,1.31,55,73.37
577,2207,7522,3.71,75,1.93,48,2.41,61,6.2,10,1.72,54,83.95
578,2208,87522,39.22,249,3.72,100,2.96,52,3.07,6,0.55,33,50.4
579,2211,17315,16.0,46,1.59,27,1.82,14,1.92,4,0.88,22,77.71
580,2221,2985,25.21,13,4.05,6,4.76,1,1.56,0,0.0,4,64.36
581,2227,8521,4.710000000000001,11,0.44,6,0.65,3,0.61,0,0.0,11,93.53
582,2228,6877,35.6,18,3.1,6,2.22,4,3.3499999999999996,2,2.34,10,53.31
583,2229,58,32.31,1,9.66,1,19.33,1,38.66,0,0.0,0,0.0
584,2230,4468,24.94,7,2.2,7,4.83,12,18.48,2,4.25,10,45.22
585,2231,12867,26.99,35,3.81,13,3.07,6,2.73,6,4.44,18,58.89
586,2233,23161,40.620000000000005,33,8.12,21,9.76,10,8.120000000000001,4,5.83,7,27.48
587,2235,1339,18.060000000000002,7,2.65,1,0.77,0,0.0,1,2.51,8,75.95
588,2236,1240,10.309999999999999,10,3.11,8,4.34,5,5.82,0,0.0,6,76.36
589,2237,1780,12.35,29,4.04,14,3.72,8,4.66,5,4.59,5,70.58
590,2239,3077,13.099999999999998,24,3.05,16,3.8,3,1.5499999999999998,2,1.49,12,76.92
591,2241,5340,28.69,45,6.73,15,4.73,14,9.62,3,2.99,15,47.17
592,2243,1998,20.94,16,4.89,4,2.7,3,3.75,2,4.2,11,63.44
593,2245,365,19.03,4,3.21,2,3.23,3,12.37,0,0.0,4,62.1
594,2246,4024,37.96,44,10.16,23,11.06,6,5.359999999999999,4,6.45,5,28.94
595,2247,6370,16.91,17,2.77,6,1.69,3,2.12,2,2.33,9,74.1
596,2248,78,2.27,4,1.35,3,1.9,1,1.31,4,8.72,7,84.38
597,2249,377,10.71,2,1.34,4,6.24,0,0.0,2,9.26,6,72.38
598,2250,3143,30.349999999999994,4,2.11,3,3.77,2,3.7,0,0.0,3,60.03
599,2252,866,6.24,22,3.56,14,4.39,12,7.05,3,3.04,5,75.66
600,2254,90,0.87,0,0.0,0,0.0,2,5.51,1,3.27,5,90.32
601,2255,654,9.559999999999999,13,4.65,3,2.17,5,8.26,2,4.59,5,70.69
602,2256,438,8.54,20,7.5,9,6.79,8,13.6,0,0.0,6,63.52
603,2301,112224,10.7,272,1.64,216,2.61,187,4.51,52,1.98,292,78.49
604,2302,18902,27.45,34,2.79,12,2.04,5,1.5499999999999998,2,0.98,11,65.1
605,2303,759939,24.62,2231,2.5,970,2.19,513,2.31,102,0.73,755,67.58
606,2305,23912,33.03,56,3.77,29,3.89,7,1.6500000000000001,0,0.0,11,57.6
607,2308,101097,7.93,314,1.72,268,2.9,182,4.03,61,2.13,279,81.24
608,2312,117340,33.79,448,4.27,184,3.52,92,3.41,17,1.03,122,53.89
609,2313,94859,30.279999999999998,240,2.84,92,2.18,58,2.83,14,1.06,110,60.75
610,2314,52112,52.05000000000001,79,4.89,39,4.58,13,2.76,8,3.17,9,32.47
611,2316,42005,41.41,40,3.14,18,3.03,10,3.17,7,3.52,14,45.65
612,2317,809305,23.07,1972,1.93,831,1.66,454,1.85,93,0.59,830,70.81
613,2318,29265,60.06999999999999,57,7.57,26,6.87,7,3.23,1,0.93,7,21.25
614,2321,18910,48.760000000000005,22,6.6,8,4.49,3,3.21,1,2.18,3,34.68
615,2323,132374,45.72999999999999,495,6.04,232,5.5,113,5.33,13,1.05,81,36.36
616,2324,213841,23.340000000000003,883,2.81,422,2.69,259,3.24,59,1.2,396,66.63
617,2326,49393,74.28,26,8.69,9,5.88,3,4.109999999999999,2,4.14,1,2.83
618,2327,93098,31.57,129,3.67,90,5.14,61,7.12,20,3.55,61,48.87
619,2328,97107,54.55,118,3.18,62,3.24,24,2.6799999999999997,5,0.85,21,35.42
620,2329,87252,43.89,141,3.62,78,3.88,31,2.98,11,1.72,33,43.83
621,2330,910952,6.75,1750,0.93,1185,1.28,784,1.69,198,0.68,1528,88.6
622,2331,46682,31.169999999999998,126,3.25,71,3.59,28,2.8899999999999997,3,0.5,43,58.53
623,2332,55732,41.93,245,5.73,116,5.18,51,4.5,14,2.1,45,40.48
624,2333,89777,61.3,115,5.91,61,6.1,30,6.1,8,2.57,18,17.95
