,序號,券商,價格,買進股數,賣出股數
0,1.0,1033,20.85,1000,0
1,3.0,1163,20.75,13000,0
2,5.0,1520,20.9,0,1000
3,7.0,5261,20.8,0,1000
4,9.0,6160,20.85,0,1000
5,11.0,700d,20.8,1000,0
6,13.0,779J,20.75,1000,0
7,15.0,8560,20.85,0,4000
8,17.0,8888,20.9,1000,0
9,19.0,9101,20.9,0,1000
10,21.0,9268,20.75,2000,0
11,23.0,9300,20.75,0,19000
12,25.0,9625,20.75,5000,0
13,27.0,9667,20.85,1000,0
14,29.0,981i,20.75,0,1000
15,31.0,983N,20.8,1000,0
16,33.0,989C,20.8,1000,0
17,35.0,9A9L,20.75,1000,0
18,2.0,104A,20.8,0,1000
19,4.0,1440,20.8,1000,0
20,6.0,1590,20.75,0,1000
21,8.0,6160,20.8,0,1000
22,10.0,6385,20.8,1000,0
23,12.0,700Z,20.85,2000,0
24,14.0,779J,20.85,1000,0
25,16.0,8888,20.8,1000,0
26,18.0,9101,20.8,0,1000
27,20.0,9105,20.85,0,1000
28,22.0,9268,20.8,0,2000
29,24.0,9624,20.75,0,1000
30,26.0,9625,20.8,0,10000
31,28.0,981G,20.8,5000,0
32,30.0,9834,20.85,1000,0
33,32.0,988B,20.9,1000,0
34,34.0,989g,20.8,5000,0
