,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
0,2022-01-03,2330,73703302,46249716919,619.0,632.0,618.0,631.0,16.0,88508,32537157,1162044,1262,-159
1,2022-01-04,2330,90945643,59188199534,645.0,656.0,644.0,656.0,25.0,106409,29781873,3970667,-175,-190
2,2022-01-05,2330,72505550,47582832784,669.0,669.0,646.0,650.0,-6.0,64712,4788430,601813,571,93
3,2022-01-06,2330,57490736,36817638522,638.0,646.0,636.0,644.0,-6.0,53430,-11445158,836637,1951,77
4,2022-01-07,2330,39847766,25358237656,643.0,646.0,632.0,634.0,-10.0,44497,-10093809,405000,862,62
5,2022-01-10,2330,39286754,25052138297,628.0,645.0,627.0,643.0,9.0,33453,-343361,417000,1806,-36
6,2022-01-11,2330,36186544,23361588355,646.0,651.0,639.0,651.0,8.0,26849,8261499,260151,-718,-41
7,2022-01-12,2330,40832298,26762357054,657.0,660.0,650.0,660.0,9.0,39164,15115705,367255,266,-55
8,2022-01-13,2330,39172028,25813559647,658.0,662.0,655.0,661.0,1.0,34355,10859343,706485,493,-12
9,2022-01-14,2330,98768193,66094477906,673.0,673.0,661.0,672.0,11.0,83211,42593496,865394,-2370,-166
10,2022-01-17,2330,63828552,43615303577,685.0,688.0,678.0,683.0,11.0,61981,19185566,44700,-952,-73
11,2022-01-18,2330,48802321,32742176854,678.0,681.0,662.0,662.0,-21.0,65357,-13959113,-30266,-222,158
12,2022-01-19,2330,44092247,28859030269,652.0,660.0,651.0,654.0,-8.0,50763,754960,130820,26,42
13,2022-01-20,2330,48996473,31893527292,650.0,657.0,646.0,651.0,-3.0,39346,-8405152,-2265000,1064,44
14,2022-01-21,2330,53966101,34642476570,644.0,646.0,637.0,641.0,-10.0,66088,-12789353,442000,184,82
15,2022-01-24,2330,48665203,31412475591,639.0,655.0,637.0,653.0,12.0,36231,4882307,373000,-688,-25
16,2022-01-25,2330,53927064,34582254327,643.0,645.0,638.0,641.0,-12.0,56698,-18112909,870000,1085,61
17,2022-01-26,2330,33093553,21089251429,635.0,641.0,635.0,636.0,-5.0,35647,-9647174,923000,111,38
18,2022-02-07,2330,64637049,41221401027,644.0,644.0,631.0,635.0,-1.0,43774,-3939208,695000,52,4
19,2022-02-08,2330,43786259,27805114442,645.0,645.0,628.0,628.0,-7.0,40026,-8741884,885000,662,16
20,2022-02-09,2330,33633394,21289086984,635.0,637.0,630.0,633.0,5.0,29746,-745149,-308000,141,6
21,2022-02-10,2330,37388892,24028303016,639.0,649.0,637.0,649.0,16.0,28452,11052768,115250,-548,-87
22,2022-02-11,2330,28194682,18225628338,646.0,650.0,642.0,650.0,1.0,21995,3247128,60600,-1338,8
23,2022-02-14,2330,39394670,25104180949,640.0,641.0,635.0,637.0,-13.0,33928,-5554218,710000,258,57
24,2022-02-15,2330,24497955,15556533655,633.0,639.0,633.0,633.0,-4.0,31907,-7829684,331000,469,28
25,2022-02-16,2330,27395771,17635435307,645.0,646.0,640.0,646.0,13.0,23136,3211358,233000,-671,-18
26,2022-02-17,2330,20447347,13171026165,644.0,646.0,641.0,645.0,-1.0,16116,2664857,80000,-636,-20
27,2022-02-18,2330,21948975,13997433486,638.0,639.0,636.0,637.0,-8.0,23892,-7116349,255000,1029,42
28,2022-02-21,2330,25769408,16320629980,633.0,636.0,632.0,632.0,-5.0,41961,-10023713,-7150,-64,29
29,2022-02-22,2330,38526210,24153923316,628.0,630.0,625.0,627.0,-5.0,68303,-12998848,1083000,-1387,24
30,2022-02-23,2330,34561338,21606428438,624.0,629.0,623.0,625.0,-2.0,50926,-19180275,274000,1528,2
31,2022-02-24,2330,80672979,49358065299,618.0,619.0,604.0,604.0,-21.0,188248,-45666037,1080000,1060,32
32,2022-02-25,2330,94155943,56880320916,600.0,609.0,600.0,604.0,0.0,129776,-48556108,1579924,2002,11
33,2022-03-01,2330,70303880,42445208215,599.0,610.0,599.0,604.0,0.0,67439,-25525399,641000,355,-5
34,2022-03-02,2330,42428151,25528700277,601.0,605.0,600.0,601.0,-3.0,58916,-20842594,324000,952,14
35,2022-03-03,2330,37103932,22373890387,603.0,607.0,601.0,602.0,1.0,65410,-16359674,77000,771,-7
36,2022-03-04,2330,65235167,38833099256,595.0,597.0,592.0,595.0,-7.0,206731,-44218803,292000,516,0
37,2022-03-07,2330,97167600,56147025127,580.0,581.0,575.0,576.0,-19.0,297917,-59332332,2340000,760,-35
38,2022-03-08,2330,88371413,49908147901,561.0,570.0,561.0,563.0,-13.0,269695,-45542448,2011000,403,6
39,2022-03-09,2330,57512412,32761408119,567.0,573.0,567.0,568.0,5.0,112422,-28712443,885000,1101,60
40,2022-03-10,2330,49092145,28798814637,585.0,589.0,582.0,587.0,19.0,71569,-5749633,491000,-641,45
41,2022-03-11,2330,42981381,24820833930,581.0,582.0,574.0,575.0,-12.0,112158,-28701540,416000,946,0
42,2022-03-14,2330,38562552,22131365409,574.0,577.0,572.0,572.0,-3.0,87337,-19453428,783000,667,0
