,序號,券商,價格,買進股數,賣出股數
0,1,104D,45.55,0,373
1,3,1440,45.95,1000,0
2,5,1440,46.1,1000,0
3,7,5266,45.9,0,2000
4,9,5268,45.7,1000,0
5,11,5850,45.9,6000,0
6,13,5850,46.0,1000,0
7,15,5850,46.1,4000,0
8,17,585g,46.0,0,2000
9,19,585g,46.1,1000,0
10,21,5926,45.7,0,1000
11,23,592a,45.8,190,0
12,25,592a,45.95,1,0
13,27,592P,45.65,0,50
14,29,601d ,45.7,5000,0
15,31,7790,45.6,16,0
16,33,7790,45.8,96,0
17,35,8159,45.9,0,1000
18,37,8440,45.7,0,1000
19,39,8440,46.1,1000,0
20,41,845A,45.8,0,2000
21,43,845D,45.9,1,0
22,45,8560,45.75,0,5000
23,47,8560,45.95,0,1000
24,49,8564,46.1,0,2000
25,51,884D,46.0,1000,0
26,53,8888,45.65,4,0
27,55,913R,45.95,100,0
28,57,9268,45.7,2000,0
29,59,9268,45.9,3000,0
30,61,9268,46.05,2000,1000
31,63,9328,45.9,0,1
32,65,9331,45.65,250,0
33,67,9331,45.85,150,0
34,69,9386,46.0,0,1000
35,71,9655,46.0,0,1000
36,73,9659,45.8,0,264
37,75,965U,45.95,10,0
38,77,981B,45.85,0,150
39,79,9871,46.1,0,1000
40,81,9898,45.75,1000,0
41,83,989C,45.95,0,1000
42,85,989F,45.8,0,400
43,87,9A98,45.8,0,6000
44,89,9A9M,45.8,7000,0
45,91,9A9Y,45.8,0,1000
46,2,116H,46.1,0,1000
47,4,1440,46.05,1000,0
48,6,5263,45.9,0,3000
49,8,5266,46.0,0,5000
50,10,5850,45.85,3000,0
51,12,5850,45.95,1000,0
52,14,5850,46.05,1000,0
53,16,585g,45.8,2000,0
54,18,585g,46.05,0,1000
55,20,585H,45.95,0,11000
56,22,5928,46.0,2000,0
57,24,592a,45.9,200,0
58,26,592P,45.6,0,250
59,28,5960,46.1,1000,0
60,30,7790,45.55,19,0
61,32,7790,45.65,96,0
62,34,7790,45.95,50,0
63,36,8159,46.1,0,1000
64,38,8440,46.0,2000,0
65,40,8455,46.05,0,2000
66,42,845D,45.55,354,0
67,44,8560,45.7,0,6000
68,46,8560,45.85,0,5000
69,48,8563,46.0,0,1000
70,50,8842,45.85,0,1000
71,52,884E,46.1,0,73
72,54,8888,45.9,0,1000
73,56,920A,46.1,0,5000
74,58,9268,45.85,3000,0
75,60,9268,46.0,5000,0
76,62,9268,46.1,3000,0
77,64,9331,45.6,234,0
78,66,9331,45.8,399,0
79,68,9332,45.8,0,21
80,70,9623,45.95,0,1
81,72,9658,45.95,0,2160
82,74,9659,46.1,0,1000
83,76,980d,45.75,0,1000
84,78,981y,45.9,0,200
85,80,9879,46.0,0,1000
86,82,989C,45.9,0,1000
87,84,989F,45.65,0,300
88,86,989U,46.1,73,0
89,88,9A9M,45.75,5000,0
90,90,9A9M,45.95,15000,2000
91,92,9A9Y,45.9,0,1000
