,證券代號,證券名稱,公司名稱,資本額,成立日期,上市日期,殖利率,本益比,淨值比
65,1436,華友聯,華友聯開發股份有限公司(原福益),10.1783528,19670131,19880411,4.56,16.52,4.82
66,1437,勤益控,勤益投資控股股份有限公司,20.3371284,19610223,19881110,2.95,12.72,1.01
67,1438,三地開發,三地開發地產股份有限公司,9.1205759,19551011,19881215,0.00,-,3.12
68,1439,雋揚,雋揚國際股份有限公司,9.2,19641001,19890522,1.03,14.50,1.02
69,1440,南紡,臺南紡織股份有限公司,165.6815857,19550321,19891003,2.03,11.58,0.99
70,1441,大東,大東紡織股份有限公司,6.9382182,19580315,19891027,0.00,-,2.61
71,1442,名軒,名軒開發股份有限公司,36.6211358,19740718,19891116,5.65,10.84,2.94
72,1443,立益物流,立益物流開發股份有限公司,13.5343011,19721125,19900421,0.00,17.93,2.12
73,1444,力麗,力麗企業股份有限公司,99.5595059,19790115,19900808,0.00,121.50,0.89
74,1445,大宇,大宇紡織股份有限公司,13.0666034,19690912,19910205,13.02,2.53,0.94
75,1446,宏和,宏和精密紡織股份有限公司,13.7709513,19780609,19911015,1.38,16.82,3.86
76,1447,力鵬,力鵬企業股份有限公司,91.0071242,19750820,19920128,0.00,-,0.88
77,1449,佳和,佳和實業股份有限公司,8.5210103,19721212,19920506,0.21,21.14,1.01
78,1451,年興,年興紡織股份有限公司,20.621,19861013,19921221,2.44,-,0.60
79,1452,宏益,宏益纖維工業股份有限公司,13.26414,19680823,19921228,1.78,36.63,0.81
80,1453,大將,大將開發股份有限公司,10.6742433,19780415,19930419,1.20,34.65,1.84
81,1454,台富,台灣富綢纖維股份有限公司,12.9833848,19730601,19930507,1.46,50.29,1.31
82,1455,集盛,集盛實業股份有限公司,53.168838,19690818,19931007,0.00,-,1.13
83,1456,怡華,怡華實業股份有限公司,9.372,19680802,19931209,0.99,92.05,1.29
84,1457,宜進,宜進實業股份有限公司,30.164764,19810324,19941020,7.01,8.66,0.91
85,1459,聯發,聯發紡織纖維股份有限公司,35.8628907,19721211,19941026,0.00,98.18,1.22
86,1460,宏遠,宏遠興業股份有限公司,69.4643484,19880208,19950428,0.00,-,0.91
87,1463,強盛,強盛染整股份有限公司,17.3268381,19831019,19961205,2.26,40.93,1.58
88,1464,得力,得力實業股份有限公司,40.7639591,19820710,19970118,1.76,94.67,1.11
89,1465,偉全,偉全實業股份有限公司,10.3607267,19721127,19970908,3.23,17.22,0.98
90,1466,聚隆,聚隆纖維股份有限公司,11.115732,19880722,19980404,0.00,-,0.99
91,1467,南緯,南緯實業股份有限公司,23.3624667,19780818,19981221,0.00,-,0.94
92,1468,昶和,昶和纖維興業股份有限公司,16.0405244,19820410,19990121,0.00,34.09,1.93
93,1470,大統新創,大統新創股份有限公司,8.5767,19861209,19990521,2.78,39.43,1.85
94,1471,首利,首利實業股份有限公司,15.0414536,19821021,20000306,0.00,-,1.61
95,1472,三洋實業,三洋實業股份有限公司,4.2488082,19681007,20000911,2.94,15.96,1.97
96,1473,台南,台南企業股份有限公司,14.6153534,19610826,20000911,2.67,14.72,1.64
97,1474,弘裕,弘裕企業股份有限公司,12.9896969,19700904,20001031,0.00,32.16,0.87
98,1475,業旺,台灣業旺股份有限公司,6.6016749,19901102,20001027,3.26,12.38,2.94
99,1476,儒鴻,儒鴻企業股份有限公司,27.4367111,19771128,20010418,2.55,25.13,6.15
100,1477,聚陽,聚陽實業股份有限公司,24.1856581,19900110,20030121,3.90,24.46,7.73
101,1503,士電,士林電機廠股份有限公司,52.0972223,19551103,19691215,1.01,56.48,3.89
102,1504,東元,東元電機股份有限公司,213.8796616,19560612,19731105,4.11,21.06,1.52
103,1506,正道,正道工業股份有限公司,30.0388501,19650313,19800811,0.00,65.96,1.92
104,1512,瑞利,瑞利企業股份有限公司,9.8183498,19700618,19940128,0.00,-,2.39
