,序號,券商,價格,買進股數,賣出股數
0,1,1020,19.7,0,5000
1,3,1025,19.55,0,1000
2,5,104A,19.65,21000,5000
3,7,116G,19.55,1000,0
4,9,1590,19.55,2000,0
5,11,1590,19.7,0,1000
6,13,592B,19.55,1000,0
7,15,592l,19.6,0,1000
8,17,7003,19.7,0,1000
9,19,700P,20.0,0,970
10,21,8440,19.7,6000,0
11,23,8458,19.6,0,1000
12,25,845D,19.35,200,0
13,27,8560,19.95,1,0
14,29,8563,19.95,1,0
15,31,8888,20.0,1,0
16,33,9200,19.6,3000,0
17,35,9200,19.7,117000,0
18,37,9252,20.0,3,0
19,39,9314,19.65,0,3000
20,41,9604,19.55,0,8000
21,43,983j,19.7,0,111000
22,45,9875,20.0,1,0
23,47,988B,20.0,999,0
24,49,9897,19.95,1,0
25,2,1025,19.5,0,3000
26,4,1025,19.6,0,2000
27,6,1163,19.7,1000,0
28,8,1480,19.7,0,1000
29,10,1590,19.6,2000,0
30,12,538P,19.65,0,1000
31,14,592l,19.35,0,205
32,16,7003,19.65,0,21000
33,18,700P,19.5,3000,0
34,20,7790,20.0,0,34
35,22,8458,19.55,0,20000
36,24,845A,19.6,0,1000
37,26,8560,19.35,1,0
38,28,8561,19.95,4,0
39,30,8564,19.95,1,0
40,32,9200,19.55,1000,0
41,34,9200,19.65,11000,0
42,36,920F,19.55,30000,0
43,38,9300,19.95,1,0
44,40,9362,19.7,0,5000
45,42,9655,19.55,0,1000
46,44,9859,19.35,4,0
47,46,988B,19.95,0,9
48,48,9891,19.65,0,2000
49,50,989F,19.55,0,5000
