資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20211217,0057,15,1,2931000,64.74
20211217,0057,16,0,0,0.00
20211217,0057,17,182,4527000,100.00
20211217,0061,1,497,142491,0.10
20211217,0061,2,4691,10980579,8.18
20211217,0061,3,1108,9299860,6.93
20211217,0061,4,370,4900597,3.65
20211217,0061,5,314,5956110,4.44
20211217,0061,6,266,6996682,5.21
20211217,0061,7,136,5026070,3.74
20211217,0061,8,113,5388187,4.01
20211217,0061,9,190,14211000,10.59
20211217,0061,10,92,13298282,9.91
20211217,0061,11,42,11639311,8.67
20211217,0061,12,18,8948000,6.67
20211217,0061,13,5,3364000,2.50
20211217,0061,14,2,1830000,1.36
20211217,0061,15,9,32134831,23.96
20211217,0061,16,0,0,0.00
20211217,0061,17,7853,134116000,100.00
20211217,006201,1,213,38481,0.29
20211217,006201,2,900,1841306,14.22
20211217,006201,3,141,1165609,9.00
20211217,006201,4,35,456686,3.52
20211217,006201,5,26,482902,3.73
20211217,006201,6,15,396001,3.05
20211217,006201,7,6,205000,1.58
20211217,006201,8,4,197000,1.52
20211217,006201,9,3,184000,1.42
20211217,006201,10,3,437000,3.37
20211217,006201,11,4,1140015,8.80
20211217,006201,12,1,411000,3.17
20211217,006201,13,0,0,0.00
20211217,006201,14,1,902000,6.96
20211217,006201,15,1,5089000,39.30
20211217,006201,16,0,0,0.00
20211217,006201,17,1353,12946000,100.00
20211217,006203,1,293,50225,0.42
20211217,006203,2,219,343775,2.93
20211217,006203,3,8,61000,0.52
20211217,006203,4,2,26000,0.22
20211217,006203,5,4,73000,0.62
20211217,006203,6,1,25000,0.21
20211217,006203,7,2,68000,0.58
20211217,006203,8,2,95000,0.81
20211217,006203,9,0,0,0.00
20211217,006203,10,1,199000,1.69
20211217,006203,11,1,377000,3.21
20211217,006203,12,2,900000,7.68
20211217,006203,13,0,0,0.00
20211217,006203,14,0,0,0.00
20211217,006203,15,2,9500000,81.07
20211217,006203,16,0,0,0.00
20211217,006203,17,537,11718000,100.00
20211217,006204,1,838,106264,7.08
20211217,006204,2,426,669639,44.64
20211217,006204,3,13,109992,7.33
20211217,006204,4,2,30000,2.00
20211217,006204,5,1,20000,1.33
20211217,006204,6,1,30000,2.00
20211217,006204,7,0,0,0.00
20211217,006204,8,0,0,0.00
20211217,006204,9,1,68000,4.53
20211217,006204,10,1,186000,12.40
20211217,006204,11,1,280105,18.67
20211217,006204,12,0,0,0.00
20211217,006204,13,0,0,0.00
20211217,006204,14,0,0,0.00
20211217,006204,15,0,0,0.00
20211217,006204,16,0,0,0.00
20211217,006204,17,1284,1500000,100.00
20211217,006205,1,5110,1933977,1.40
20211217,006205,2,6908,15643174,11.38
20211217,006205,3,1338,10106093,7.35
20211217,006205,4,390,5009291,3.64
20211217,006205,5,261,4797875,3.49
20211217,006205,6,219,5656979,4.11
20211217,006205,7,105,3774406,2.74
20211217,006205,8,62,2882054,2.09
20211217,006205,9,142,10277999,7.48
20211217,006205,10,56,7859202,5.72
20211217,006205,11,21,6272691,4.56
20211217,006205,12,7,3359000,2.44
20211217,006205,13,5,3445000,2.50
20211217,006205,14,4,3550551,2.58
20211217,006205,15,14,52777708,38.42
20211217,006205,16,0,0,0.00
20211217,006205,17,14642,137346000,100.00
20211217,006206,1,1012,340506,0.88
20211217,006206,2,2465,5663229,14.79
20211217,006206,3,514,4120840,10.76
20211217,006206,4,183,2403295,6.27
20211217,006206,5,112,2074470,5.41
20211217,006206,6,111,2906324,7.59
20211217,006206,7,52,1877565,4.90
20211217,006206,8,37,1761000,4.60
20211217,006206,9,56,4128914,10.78
20211217,006206,10,16,2366477,6.18
20211217,006206,11,10,3281121,8.57
20211217,006206,12,1,496000,1.29
20211217,006206,13,1,788000,2.05
20211217,006206,14,0,0,0.00
20211217,006206,15,3,6070259,15.85
20211217,006206,16,0,0,0.00
20211217,006206,17,4573,38278000,100.00
20211217,006207,1,159,45509,0.12
20211217,006207,2,1162,2738336,7.42
20211217,006207,3,262,2162430,5.86
20211217,006207,4,96,1227897,3.32
20211217,006207,5,90,1663578,4.50
20211217,006207,6,79,2106333,5.70
20211217,006207,7,36,1311000,3.55
20211217,006207,8,24,1128000,3.05
20211217,006207,9,68,4942558,13.39
20211217,006207,10,29,4203000,11.39
20211217,006207,11,17,5213000,14.13
20211217,006207,12,3,1495000,4.05
20211217,006207,13,1,763233,2.06
20211217,006207,14,1,900000,2.43
20211217,006207,15,5,6992126,18.95
20211217,006207,16,0,0,0.00
20211217,006207,17,2032,36892000,100.00
20211217,006208,1,69016,20775452,8.70
20211217,006208,2,47505,91606507,38.40
20211217,006208,3,4829,34832396,14.60
20211217,006208,4,1273,15779868,6.61
20211217,006208,5,500,8868504,3.71
20211217,006208,6,393,9640451,4.04
20211217,006208,7,140,4895556,2.05
20211217,006208,8,71,3240359,1.35
20211217,006208,9,100,6738231,2.82
20211217,006208,10,18,2305888,0.96
20211217,006208,11,11,3133038,1.31
20211217,006208,12,4,1973000,0.82
20211217,006208,13,4,2685195,1.12
20211217,006208,14,1,877000,0.36
20211217,006208,15,6,31188555,13.07
20211217,006208,16,0,0,0.00
20211217,006208,17,123871,238540000,100.00
20211217,00625K,1,0,0,0.00
20211217,00625K,2,5,12000,2.81
20211217,00625K,3,1,10000,2.34
20211217,00625K,4,1,12000,2.81
20211217,00625K,5,3,53000,12.44
20211217,00625K,6,1,23000,5.39
20211217,00625K,7,1,40000,9.38
20211217,00625K,8,1,50000,11.73
20211217,00625K,9,3,226000,53.05
20211217,00625K,10,0,0,0.00
20211217,00625K,11,0,0,0.00
20211217,00625K,12,0,0,0.00
20211217,00625K,13,0,0,0.00
20211217,00625K,14,0,0,0.00
20211217,00625K,15,0,0,0.00
20211217,00625K,16,0,0,0.00
20211217,00625K,17,16,426000,100.00
20211217,00631L,1,362,65820,0.05
20211217,00631L,2,901,1926895,1.70
20211217,00631L,3,166,1317161,1.16
20211217,00631L,4,61,770650,0.68
20211217,00631L,5,54,982720,0.86
20211217,00631L,6,43,1110500,0.98
20211217,00631L,7,20,732228,0.64
20211217,00631L,8,9,409000,0.36
20211217,00631L,9,30,2191399,1.93
20211217,00631L,10,13,1919000,1.69
20211217,00631L,11,8,2371000,2.09
20211217,00631L,12,2,1055000,0.93
20211217,00631L,13,0,0,0.00
20211217,00631L,14,3,2494000,2.20
20211217,00631L,15,8,95738627,84.66
20211217,00631L,16,0,0,0.00
20211217,00631L,17,1680,113084000,100.00
20211217,00632R,1,297,70417,0.00
20211217,00632R,2,14938,42345725,0.43
20211217,00632R,3,8897,76313211,0.77
20211217,00632R,4,4198,55975113,0.57
20211217,00632R,5,4602,87459207,0.89
20211217,00632R,6,4856,129306647,1.31
20211217,00632R,7,3265,120530171,1.22
20211217,00632R,8,2739,130078954,1.32
20211217,00632R,9,6867,521772634,5.32
20211217,00632R,10,4616,682210678,6.95
