,排  名,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
100,96,5388,中磊,市,01/17,,73.5,+3.5,+5,9485,697,70,71.1,74.8,71.1,5.29,23.3,2.38,,,,
103,99,6116,彩晶,市,01/17,,16.7,+0.25,+1.52,9418,155,16.45,16.35,16.7,16.2,3.04,5.09,1,,,,
104,100,1325,恆大,市,01/17,,55.8,+0.8,+1.45,9324,519,55,55.8,57.7,54.5,5.82,5.79,1.62,,,,
105,101,6443,元晶,市,01/17,,40.15,+0.85,+2.16,9276,368,39.3,39.35,40.15,39.05,2.8,,3.93,,,,
107,103,3049,和鑫,市,01/17,,15.6,+0.5,+3.31,9212,143,15.1,15.2,15.65,15.15,3.31,12.7,1.26,,,,
108,104,6770,力積電,市,01/17,,68.1,+0.8,+1.19,9174,624,67.3,68.2,68.3,67.5,1.19,,4.45,,,,
110,106,2363,矽統,市,01/17,,24.7,+0.65,+2.7,8968,221,24.05,24.15,24.8,24.15,2.7,137,0.74,,,,
111,107,2374,佳能,市,01/17,,29.1,+1,+3.56,8859,257,28.1,28.65,29.6,28.3,4.63,12.9,1.37,,,,
112,108,4906,正文,市,01/17,,30.2,+1.4,+4.86,8794,263,28.8,29,30.4,28.7,5.9,21,1.04,,,,
114,109,2405,浩鑫,市,01/17,,16.15,+1.35,+9.12,8635,136,14.8,15.1,16.2,14.85,9.12,55.7,1.64,,,,
116,111,6477,安集,市,01/17,,53.4,+0.2,+0.38,8458,449,53.2,52.1,54.5,51.5,5.64,44.9,2.27,,,,
117,112,3189,景碩,市,01/17,,208.5,+7.5,+3.73,8297,1708,201,200.5,209.5,199.5,4.98,35.2,3.4,,,,
120,115,3701,大眾控,市,01/17,,66.2,+1.7,+2.64,8039,530,64.5,64.5,68.5,62.3,9.61,63,5.4,,,,
122,117,3051,力特,市,01/17,,28.65,+2.6,+9.98,7944,222,26.05,27,28.65,26.5,8.25,11.2,4.58,,,,
123,118,2421,建準,市,01/17,,44.35,+1.45,+3.38,7779,348,42.9,43,45.85,43,6.64,27.2,2.66,,,,
