,排  名,代號,名稱,成交,漲跌  價,漲跌  幅,更新  日期,成交  價  歷日  排名,成交  價  創高  創低  日數,成交  張數,成交  張數  歷日  排名,成交  張數  創高  創低  日數,成交  金額  (百萬),成交  金額  歷日  排名,成交  金額  創高  創低  日數,1個月  走勢圖,3個月  走勢圖,1年  走勢圖,3年  走勢圖
280,267,3289,宜特,123.5,+0.5,+0.41,03/29,+35,+8,2652,+423,+6,330,+233,+6,,,,
281,268,3576,聯合再生,11.55,+0.15,+1.32,03/29,-570,+4,10160,+1316,+6,119,-1477,+6,,,,
282,269,4581,光隆精密-KY,67.8,-1.1,-1.6,03/29,+112,-18,251,+108,+6,17,+93,+6,,,,
283,270,4938,和碩,102,+2.3,+2.31,03/29,+3,+5,36994,+36,+6,3735,+16,+6,,,,
285,271,5403,中菲,136,+3.5,+2.64,03/29,+127,+5,486,+698,+6,65.9,+162,+6,,,,
286,272,5438,東友,18.3,-0.4,-2.14,03/29,+2723,-8,122,-2083,+6,2.24,-2225,+6,,,,
287,273,5483,中美晶,214.5,-0.5,-0.23,03/29,+195,-3,21223,+264,+6,4553,+34,+6,,,,
288,274,6127,九豪,26.7,-0.5,-1.84,03/29,+467,-9,729,+2320,+6,19.6,+1685,+6,,,,
289,275,6285,啟碁,155,+0.5,+0.32,03/29,+26,+2,12204,+204,+6,1882,+78,+6,,,,
290,276,6457,紘康,46.5,-1.3,-2.72,03/29,+975,-137,427,+495,+6,20,+620,+6,,,,
291,277,6570,維田,53.1,-0.6,-1.12,03/29,+171,-2,120,+375,+6,6.41,+337,+6,,,,
292,278,6662,樂斯科,36.95,+1.2,+3.36,03/29,+306,+16,18,+423,+6,0.65,+407,+6,,,,
293,279,6679,鈺太,444.5,+17.5,+4.1,03/29,+43,+4,831,+487,+6,368,+221,+6,,,,
294,280,6803,崑鼎,308.5,+1,+0.33,03/29,+160,+2,29,-1020,+6,9.02,+1569,+6,,,,
295,281,6821,聯寶,43.1,-0.2,-0.46,03/29,-39,-3,56,-77,+6,2.41,-74,+6,,,,
296,282,8032,光菱,29.15,+0.2,+0.69,03/29,+1416,+11,20,-1948,+6,0.59,-2107,+6,,,,
297,283,8077,洛碁,50.2,+1.2,+2.45,03/29,+252,+5,15,+1699,+6,0.72,+724,+6,,,,
298,284,8096,擎亞,25.65,+0.2,+0.79,03/29,+1024,+2,11003,+120,+6,287,+180,+6,,,,
299,285,8279,生展,157.5,-1,-0.63,03/29,+293,-9,18,-361,+6,2.87,-494,+6,,,,
300,286,8482,商億-KY,62,-0.2,-0.32,03/29,-1,-1369,23,-625,+6,1.43,-565,+6,,,,
301,287,0055,元大MSCI金融,25.38,+0.2,+0.79,03/29,+59,+11,393,-1894,+5,9.96,+1894,+5,,,,
308,293,1101,台泥,32.15,+0.45,+1.42,03/29,-2829,+23,14944,+2372,+5,477,+2618,+5,,,,
309,294,1210,大成,57.7,0,0,03/29,+112,0,1490,-4160,+5,85.9,+2311,+5,,,,
310,295,1310,台苯,13.35,-0.1,-0.74,03/29,-1214,-7,478,-320,+5,6.39,-312,+5,,,,
311,296,1419,新紡,45.6,-0.05,-0.11,03/29,+1165,-3,34,-1193,+5,1.53,-1342,+5,,,,
312,297,2356,英業達,59.7,+1.2,+2.05,03/29,+1033,+5,212152,+7,+5,12815,+6,+5,,,,
313,298,2376,技嘉,316,+3,+0.96,03/29,+65,+11,24661,+220,+5,7852,+81,+5,,,,
314,299,2377,微星,169.5,+2.5,+1.5,03/29,+410,+4,3861,-2489,+5,654,+1438,+5,,,,
315,300,2461,光群雷,23.65,+0.4,+1.72,03/29,+1679,+3,1886,+1250,+5,44.3,+1395,+5,,,,
