,排  名,代號,名稱,成交,漲跌  價,漲跌  幅,更新  日期,成交  價  歷日  排名,成交  價  創高  創低  日數,成交  張數,成交  張數  歷日  排名,成交  張數  創高  創低  日數,成交  金額  (百萬),成交  金額  歷日  排名,成交  金額  創高  創低  日數,1個月  走勢圖,3個月  走勢圖,1年  走勢圖,3年  走勢圖
51,50,3231,緯創,125,+4.5,+3.73,03/29,+21,+29,241803,+14,+41,30358,+10,+41,,,,
52,51,3666,光耀,27.05,+2.45,+9.96,03/29,+742,+52,2295,+122,+40,60.2,+204,+40,,,,
53,52,1319,東陽,125,0,0,03/29,+2,0,25733,+24,+38,3163,+3,+130,,,,
54,53,6462,神盾,272.5,+17.5,+6.86,03/29,+101,+17,20698,+16,+34,5566,+4,+34,,,,
55,54,1324,地球,14.55,-0.3,-2.02,03/29,+2213,-116,938,+333,+32,13.7,+490,+32,,,,
57,55,9921,巨大,217.5,-7.5,-3.33,03/29,+1264,-3,8110,+76,+29,1780,+3,+29,,,,
58,56,1459,聯發,9.77,+0.15,+1.56,03/29,+3611,+14,262,-2649,+28,2.54,-2760,+28,,,,
59,57,1464,得力,12.8,-0.1,-0.78,03/29,+3201,-410,414,-3276,+26,5.31,-3362,+26,,,,
60,58,6578,達邦蛋白,25.3,+1.05,+4.33,03/29,+225,+461,5505,+20,+26,142,+17,+26,,,,
61,59,8442,威宏-KY,124,-3.5,-2.75,03/29,+4,-2,1686,+7,+26,203,+5,+26,,,,
62,60,8906,花王,17.35,+0.15,+0.87,03/29,+1199,+102,80,+1575,+26,1.39,+1030,+26,,,,
65,63,1806,冠軍,10.45,-0.5,-4.57,03/29,-3644,-44,3797,+1263,+24,39.9,+2369,+24,,,,
66,64,3025,星通,71.6,-1.1,-1.51,03/29,+162,-2,8520,+114,+23,625,+63,+22,,,,
67,65,3073,天方能源,30.45,-0.5,-1.62,03/29,+785,-4,213,+877,+23,6.96,+728,+23,,,,
68,66,3313,斐成,20.15,-0.1,-0.49,03/29,+1192,-2,2567,+144,+22,52.8,+269,+16,,,,
69,67,5269,祥碩,2395,+85,+3.68,03/29,+2,+18,1801,+313,+22,4346,+9,+22,,,,
70,68,6204,艾華,145,-4,-2.68,03/29,+15,-2,1411,+70,+22,212,+20,+22,,,,
71,69,2062,橋椿,29.2,+0.95,+3.36,03/29,-1387,+16,1298,+458,+21,37.8,+704,+21,,,,
72,70,6173,信昌電,45.4,+0.1,+0.22,03/29,+1131,+4,975,+2336,+21,44.8,+1632,+21,,,,
73,71,6719,力智,297,+12.5,+4.39,03/29,+232,+18,2563,+108,+21,750,+156,+21,,,,
74,72,9105,泰金寶-DR,3.78,-0.07,-1.82,03/29,-2288,-2,32108,+270,+21,124,+442,+25,,,,
76,73,1614,三洋電,39.95,+0.15,+0.38,03/29,+83,+805,453,+1022,+20,18.2,+678,+20,,,,
77,74,3679,新至陞,116.5,+3,+2.64,03/29,+118,+21,222,+611,+20,25.7,+430,+20,,,,
78,75,9919,康那香,22.1,-0.05,-0.23,03/29,+2141,-2,3328,+1023,+20,74.7,+999,+20,,,,
79,76,2324,仁寶,36.2,-0.9,-2.43,03/29,+3178,-23,77619,+45,+19,2786,+336,+19,,,,
80,77,3605,宏致,38.7,+2.55,+7.05,03/29,+1444,+13,5437,+107,+19,209,+179,+19,,,,
81,78,4120,友華,43.5,+0.1,+0.23,03/29,-1998,+2,160,+2399,+19,6.97,-2482,+19,,,,
82,79,7402,邑錡,116.5,-6.5,-5.28,03/29,+4,-2,10935,+2,+19,1308,+2,+19,,,,
83,80,8085,福華,74.3,-1.2,-1.59,03/29,+3,-2,9856,+47,+19,739,+11,+19,,,,
85,82,1726,永記,80,+0.2,+0.25,03/29,+702,+1340,90,+2765,+18,7.18,+1841,+18,,,,
86,83,3032,偉訓,81,+3.2,+4.11,03/29,+9,+17,8741,+79,+18,706,+57,+18,,,,
87,84,3128,昇銳,31.8,+0.95,+3.08,03/29,+613,+13,700,+794,+18,22.2,+660,+18,,,,
90,87,1435,中福,50.5,+0.3,+0.6,03/29,+117,+17,11,-336,+17,0.57,-2011,+17,,,,
91,88,1777,生泰,84.3,+0.6,+0.72,03/29,+780,+34,58,+1907,+17,4.9,+1506,+17,,,,
92,89,2013,中鋼構,63.8,+3,+4.93,03/29,+258,+547,880,+2014,+17,55,+1045,+17,,,,
93,90,3013,晟銘電,61.3,+2.7,+4.61,03/29,+11,+15,79820,+6,+17,4961,+3,+17,,,,
95,91,3149,正達,25.35,-0.8,-3.06,03/29,+1135,-2,2243,+774,+17,58,+908,+17,,,,
96,92,4171,瑞基,33.65,0,0,03/29,-769,0,301,+846,+17,10,+1042,+17,,,,
97,93,6902,走著瞧-創,150.5,-3.5,-2.27,03/29,-30,-2,10,+38,+17,1.51,+42,+17,,,,
100,96,2536,宏普,30.5,+0.75,+2.52,03/29,+1866,+49,697,-3516,+16,21,+3154,+16,,,,
102,98,3376,新日興,185.5,+5.5,+3.06,03/29,+441,+3,17316,+16,+16,3234,+11,+16,,,,
103,99,4956,光鋐,18,-0.25,-1.37,03/29,-1067,-53,1442,+775,+16,26.3,+898,+12,,,,
104,100,5516,雙喜,19.95,+0.3,+1.53,03/29,+267,+12,89,+683,+16,1.77,+520,+16,,,,
105,101,6126,信音,37.45,+1.4,+3.88,03/29,+618,+16,15454,+22,+16,578,+15,+16,,,,
106,102,6667,信紘科,158,0,0,03/29,+2,0,9692,+14,+16,1550,+4,+16,,,,
107,103,6695,芯鼎,63.7,+1.9,+3.07,03/29,+60,+4,5985,+52,+16,379,+55,+16,,,,
108,104,9955,佳龍,24.75,+0.75,+3.12,03/29,+2365,+14,3364,+196,+16,85.1,+426,+16,,,,
112,108,1227,佳格,38.15,+0.35,+0.93,03/29,-2766,+25,945,+2891,+15,35.9,+3515,+15,,,,
114,109,1232,大統益,147,+1.5,+1.03,03/29,+452,+169,99,+2991,+15,14.5,+946,+15,,,,
115,110,1525,江申,74.4,+0.1,+0.13,03/29,+1014,+21,66,+3073,+15,4.91,+2479,+15,,,,
116,111,1591,駿吉-KY,66.9,+1.3,+1.98,03/29,+2,+19,1508,+118,+15,101,+39,+16,,,,
117,112,1815,富喬,18.7,+0.55,+3.03,03/29,+1181,+14,37516,+65,+15,706,+71,+15,,,,
118,113,1817,凱撒衛,37.4,-0.25,-0.66,03/29,+1002,-15,278,+339,+15,10.4,+342,+15,,,,
119,114,1904,正隆,29,-0.3,-1.02,03/29,+1165,-3,1330,-2409,+15,38.6,-4159,+15,,,,
