,排  名,代號,名稱,成交,財報  季度,市值  (億),現金  (億),應收  帳款  (億),存貨  (億),速動  資產  (億),流動  資產  (億),投資  (億),固定  資產  (億),無形  資產  (億),其他  資產  (億),資產  總額  (億),流動  負債  (億),長期  負債  (億),其他  負債  (億),負債  總額  (億),股東  權益  (億),每股  淨值  (元),財報  評分
42,41,6456,GIS-KY,82.1,22Q4,277,178,374,149,555,707,4.21,179,0.31,1.88,911,435,123,8.1,573,338,99.31,40
43,42,6533,晶心科,561,22Q4,284,41,1.28,0.02,43.5,44.2,,0.75,6.14,2.06,54.2,3.21,,,4.35,49.9,98.5,77
44,43,2049,上銀,253,22Q4,895,74.6,33.6,89.4,108,203,11.8,277,2.56,14.6,521,94.1,63.1,2.26,172,350,98.23,62
45,44,2609,陽明,65.8,22Q4,2298,1494,114,45,3312,3386,189,758,1.33,6.24,5081,759,455,33.4,1644,3438,98.21,94
46,45,4736,泰博,190,22Q3,181,37.2,16.6,17.4,58.5,77.3,18.2,26.7,0.07,1.6,127,26.7,3.8,0.19,31.9,94.8,96.96,87
47,46,6409,旭隼,1680,22Q4,1474,53.5,31.7,20.2,85.3,108,,44.7,0.25,1.72,160,66.3,8.32,0.02,77,83.4,95.07,68
48,47,3673,TPK-KY,34.75,22Q3,141,264,186,106,597,707,9.74,182,1.13,7.32,960,350,164,4.02,573,387,94.33,43
49,48,4961,天鈺,174.5,22Q4,326,67.6,27.4,25.1,191,218,,10.5,0.84,24.1,255,40.7,,1.66,43.1,211,93.43,68
50,49,8016,矽創,233,22Q3,280,56.7,17.7,56,100,158,22.4,18.1,0.58,10.5,211,62.2,,4.2,68.2,143,92.43,79
51,50,2239,英利-KY,69.7,22Q3,82.3,30.7,58.2,65.2,90.3,181,13.5,107,11.1,14.7,342,148,32.8,1.99,190,152,92.39,32
52,51,6491,晶碩,409.5,22Q4,287,18.5,7.51,5.69,32.6,39.7,,50.4,0.22,1.56,95.6,24.4,3.65,0.01,30.8,64.9,91.82,75
53,52,1476,儒鴻,455.5,22Q4,1250,60.2,39.7,46.3,99.9,184,0,136,0.19,12.5,334,75.8,5.63,0.07,82.2,251,91.64,70
54,53,6732,昇佳電子,382,22Q4,187,15.1,4.04,9.99,31.6,41.9,8.74,5.55,0.59,0.04,56.9,10.7,,1.49,12.2,44.7,91.38,70
55,54,2492,華新科,94.1,22Q4,457,175,99.9,78.8,336,421,180,284,6.84,10,917,192,166,5.13,381,536,91.34,47
57,55,2379,瑞昱,391.5,22Q4,2008,138,125,256,694,955,42.9,75.6,24.1,22.8,1137,625,17.1,1.06,669,468,91.16,64
58,56,6605,帝寶,91.4,22Q3,152,59.4,30.5,58.3,92.5,154,3.61,142,0.51,32,352,69.3,119,3.6,196,156,91.01,55
59,57,4905,台聯電,51.2,22Q3,15,9.3,0.12,0.47,15.9,16.4,9.07,0.91,,0.4,26.8,0.24,,0.01,0.33,26.5,90.59,47
60,58,6679,鈺太,313,22Q4,172,3.27,5.64,9.71,31.4,43.1,6.49,0.44,0.07,0.73,51,2.46,,,2.57,48.4,90.24,68
61,59,3691,碩禾,118,22Q3,108,27.6,16.5,9.63,44.1,59.3,10.4,44,4.06,7.02,129,23.8,14,0.7,41,88.3,86.65,40
62,60,4770,上品,318.5,22Q4,250,33.7,17.4,20.4,51,76.7,0.05,17.1,0.07,0.28,95.3,23.3,3.71,0.03,28,67.3,85.16,79
63,61,2375,凱美,76.5,22Q3,83.1,8.13,22.7,17.2,111,131,31.7,25.5,0.31,0.99,194,92.2,5.62,0.27,102,91.6,84.26,40
64,62,3558,神準,333.5,22Q4,164,44.2,31.7,31,76,107,,25.8,0.09,0.41,138,91,0.14,0.04,94,44.4,84.19,48
65,63,3376,新日興,85.3,22Q3,160,33.5,56.5,17.7,113,132,28.8,58,,0.92,222,49.6,7.94,0.19,64.2,158,84.18,60
66,64,6803,崑鼎,270.5,22Q4,191,16.1,8.39,1.01,48.7,51.3,7.89,43,9.55,18,133,29.3,27,8.69,68.6,64.3,83.84,57
67,65,1558,伸興,112,22Q3,74.5,28.6,25.8,17.8,57.9,77.4,1.04,36.1,9.58,3.94,132,43.2,5.94,0.91,54.1,77.7,83.58,53
68,66,8046,南電,262.5,22Q4,1696,200,151,58,352,413,5.14,373,,0.12,818,137,76.3,20.3,280,537,83.14,91
69,67,5871,中租-KY,231,22Q4,3657,676,5005,0,5923,6119,95.6,655,1.99,1783,8772,4833,2282,81.9,7270,1502,81.55,62
70,68,5289,宜鼎,259,22Q4,224,40,14.3,11.6,54.3,66.5,1.71,21.4,0.44,0.06,93,16.9,3.1,0.02,21.8,71.2,81.02,72
71,69,4439,冠星-KY,111.5,22Q3,42.8,7.09,16.2,10.5,23.3,34.4,,9.6,0,1.39,48.5,17.2,0,0,18.1,30.4,80.76,43
72,70,6415,矽力*-KY,513,22Q4,1956,149,17,51.1,191,245,52.8,18.6,21.7,6.41,353,24.2,0,12.9,37.8,315,80.69,85
73,71,4536,拓凱,205.5,22Q3,187,61.2,28.3,25.9,111,139,,28.3,0,0.87,175,83.9,0.89,4.41,97.1,77.7,80.68,68
74,72,9921,巨大,173.5,22Q3,680,132,180,375,313,702,24.2,123,4.97,10.6,906,475,61.5,13.4,579,327,80.43,47
76,73,2615,萬海,69.6,22Q4,1953,1718,61.3,50.3,1863,1949,101,1149,0.4,269,3651,484,511,17.2,1391,2260,80.4,91
77,74,3044,健鼎,106,22Q4,557,152,184,112,337,462,23.5,225,0.57,11.3,765,303,,1.03,344,422,80.22,51
78,75,6670,復盛應用,232.5,22Q3,305,36.4,53.8,48,96.5,147,0.12,50.3,6.9,6.21,216,80.6,14.5,2.03,101,115,79.35,62
79,76,3105,穩懋,171,22Q4,725,104,9.17,54.2,114,172,154,315,5.62,22.5,691,62.5,265,2.11,339,352,78.62,51
80,77,1338,廣華-KY,45.35,22Q3,38,23.4,25.4,12.1,48.8,64.6,4.37,38.7,,1.7,117,31.6,14.4,0.09,48.5,68.5,78.25,47
81,78,6269,台郡,95.4,22Q4,308,127,61.5,48.4,215,267,0.92,174,0.26,6.38,461,165,26.4,0.27,212,249,77.28,51
82,79,1589,永冠-KY,72.9,22Q3,80.6,22.2,35.3,18.9,61.1,93.9,1.06,93.3,1.4,19.6,216,83.2,44.3,,129,86.4,77.02,30
83,80,4438,廣越,113.5,22Q4,117,37.7,18.7,42.4,68.3,113,7.79,31,3.84,1.37,165,42.1,18.8,0.02,67.1,97.7,76.79,49
84,81,2207,和泰車,593,22Q4,3239,156,2398,133,2608,2894,313,606,1.85,174,4066,3016,124,82.5,3370,696,76.47,23
