,證券代號,公司名稱,董監持股比率
611,3576,聯合再生,12.29
612,3583,辛耘,14.01
613,3588,通嘉,8.21
614,3591,艾笛森,8.41
615,3593,力銘,37.25
616,3596,智易,18.81
617,3605,宏致,15.3
618,3607,谷崧,10.19
619,3617,碩天,18.62
620,3622,洋華,33.61
621,3645,達邁,15.39
622,3653,健策,28.47
623,3661,世芯-KY,2.86
624,3665,貿聯-KY,3.12
625,3669,圓展,50.45
626,3673,TPK-KY,19.51
627,3679,新至陞,28.09
628,3682,亞太電,6.27
629,3686,達能,3.39
630,3694,海華,42.74
631,3701,大眾控,22.24
632,3702,大聯大,6.43
633,3703,欣陸,32.77
634,3704,合勤控,26.04
635,3705,永信,16.08
636,3706,神達,17.12
637,3708,上緯投控,11.74
638,3711,日月光投控,15.73
639,3712,永崴,27
640,3714,富采,4.11
641,4104,佳醫,11.53
642,4106,雃博,27.84
643,4108,懷特,17.85
644,4119,旭富,32.3
645,4133,亞諾法,13.02
646,4137,麗豐-KY,35.3
647,4142,國光生,17.31
648,4148,全宇生技-KY,0.46
649,4155,訊映,9.83
650,4164,承業醫,23.43
651,4190,佐登-KY,40.96
652,4306,炎洲,13.66
653,4414,如興,25.81
654,4426,利勤,9.78
655,4438,廣越,40.26
656,4439,冠星-KY,38.63
657,4440,宜新實業,13.18
658,4526,東台,14.28
659,4532,瑞智,36.74
660,4536,拓凱,21.36
661,4540,全球,9.58
662,4545,銘鈺,69.84
663,4551,智伸科,12.54
664,4552,力達-KY,47.94
665,4555,氣立,29.21
666,4557,永新-KY,21.96
667,4560,強信-KY,40.04
668,4562,穎漢,29.24
669,4564,元翎,17.13
670,4566,時碩工業,35.51
671,4571,鈞興-KY,13.4
672,4572,駐龍,20.91
673,4576,大銀微系統,34.29
674,4581,光隆精密-KY,18.36
675,4720,德淵,30.98
676,4722,國精化,18.35
677,4737,華廣,39.45
678,4739,康普,26.41
679,4746,台耀,11.04
680,4755,三福化,28.69
681,4763,材料-KY,59.68
682,4764,雙鍵,9.53
683,4766,南寶,16.73
684,4807,日成-KY,43
685,4904,遠傳,32.94
686,4906,正文,4.02
687,4912,聯德控股-KY,35.23
688,4915,致伸,3.63
689,4916,事欣科,16.88
690,4919,新唐,52.5
691,4927,泰鼎-KY,1.57
692,4930,燦星網,44.4
693,4934,太極,27.17
694,4935,茂林-KY,18.23
695,4938,和碩,6.07
696,4942,嘉彰,15.19
697,4943,康控-KY,33.62
698,4952,凌通,34.31
699,4956,光鋐,18.64
700,4958,臻鼎-KY,32.75
701,4960,奇美材,2.69
702,4961,天鈺,8.25
703,4967,十銓,4.63
704,4968,立積,8.45
705,4976,佳凌,21.77
706,4977,眾達-KY,18.47
707,4989,榮科,62.73
708,4994,傳奇,28.89
709,4999,鑫禾,17.12
710,5007,三星,9.67
711,5203,訊連,19.21
712,5215,科嘉-KY,11.7
713,5222,全訊,8.91
714,5225,東科-KY,1.46
715,5234,達興材料,43.87
716,5243,乙盛-KY,35.58
717,5258,虹堡,16.38
718,5269,祥碩,35.33
719,5283,禾聯碩,24.46
720,5284,F-JPP,37.06
721,5285,界霖,17.7
722,5288,豐祥-KY,58.81
723,5388,中磊,5.06
724,5434,崇越,10.25
725,5469,瀚宇博,26.1
726,5471,松翰,10.94
727,5484,慧友,24.17
728,5515,建國,27.02
729,5519,隆大,23.11
730,5521,工信,3.82
731,5522,遠雄,35.57
732,5525,順天,19.16
733,5531,鄉林,25.74
734,5533,皇鼎,10.36
735,5534,長虹,9.98
736,5538,東明-KY,25.6
737,5546,永固ky,16.29
738,5607,遠雄港,17.77
739,5608,四維航,9.29
740,5706,鳳凰,28.6
741,5871,中租-KY,4.22
742,5876,上海銀,3.23
743,5880,合庫金,27.67
744,5906,台南-KY,24.27
745,5907,大洋-KY,56.82
746,6005,群益證,3.25
747,6024,群益期,56.58
748,6108,競國,12.91
749,6112,聚碩,51.41
750,6115,鎰勝,11.82
751,6116,彩晶,11.94
752,6117,迎廣,37.97
753,6120,達運,28.64
754,6128,上福,28.05
755,6133,金橋,2.16
756,6136,富爾特,7.81
757,6139,亞翔,26.39
758,6141,柏承,10.83
759,6142,友勁,44.55
760,6152,百一,10.92
761,6153,嘉聯益,25.87
762,6155,鈞寶,22.67
763,6164,華興,11.38
764,6165,捷泰,0.07
765,6166,凌華,31.17
766,6168,宏齊,21.93
767,6172,互億,-
768,6176,瑞儀,3.94
769,6177,達麗,5.97
770,6183,關貿,48.91
771,6184,大豐電,11.66
772,6189,豐藝,10.3
773,6191,精成科,41.49
774,6192,巨路,8.39
775,6196,帆宣,51.85
776,6197,佳必琪,33.83
777,6201,亞弘電,15.9
778,6202,盛群,7.49
779,6205,詮欣,13.16
780,6206,飛捷,19.88
781,6209,今國光,11.62
782,6213,聯茂,27.02
783,6214,精誠,9.35
784,6215,和椿,20.16
785,6216,居易,19.65
786,6224,聚鼎,22.63
787,6225,天瀚,8.65
788,6226,光鼎,12.3
789,6230,超眾,86.23
790,6235,華孚,23.99
791,6239,力成,6.47
792,6243,迅杰,20.1
793,6251,定穎,9.62
794,6257,矽格,5.17
795,6269,台郡,7.63
796,6271,同欣電,9.29
797,6277,宏正,12.84
798,6278,台表科,8.65
799,6281,全國電,12.51
800,6282,康舒,24.78
801,6283,淳安,43
802,6285,啟卅卅,24.78
803,6288,聯嘉,21.19
804,6289,華上,7.91
805,6405,悅城,13.6
806,6409,旭隼,17.78
807,6412,群電,59.47
808,6414,樺漢,32.25
809,6415,矽力-KY,11.28
810,6416,瑞祺電,27.48
811,6426,統新,14.41
812,6431,光麗-KY,1.99
813,6438,迅得,13.04
814,6442,光聖,11.76
815,6443,元晶,6.62
816,6449,鈺邦,21.89
817,6451,訊芯-KY,59.52
818,6456,GIS-KY,23.62
819,6464,台數科,6.87
820,6477,安集,18.13
821,6491,晶碩,41.84
822,6504,南六,13.86
823,6505,台塑化,75.82
824,6515,穎崴,19.04
825,6525,捷敏-KY,51.53
826,6531,愛普,16.5
827,6533,晶心科,18.74
828,6541,F-泰福,31.44
829,6552,易華電,52.86
830,6558,興能高,15.02
831,6573,虹揚-KY,1.98
832,6579,研揚,60.49
833,6581,鋼聯,72.04
834,6582,申豐,49.7
835,6591,動力-KY,21.07
836,6592,和潤企業,68.35
837,6598,ABC-KY,10.28
838,6605,帝寶,14.77
839,6625,必應,13.58
840,6641,基士德-KY,13.08
841,6655,科定,22.24
842,6666,羅麗芬-KY,43.86
843,6668,中揚光,24.63
844,6669,緯穎,39.98
845,6670,復盛應用,7.82
846,6671,三能-KY,2.64
847,6672,騰輝電子-KY,14.13
848,6674,鈜寶科技,47.7
849,6698,旭暉應材,32.37
850,6706,惠特,9.68
851,6715,嘉基,51.37
852,6743,安普新,25.11
853,6754,匯僑設計,61.59
854,6756,威鋒電子,57.37
855,6768,志強-KY,2.08
856,6770,力積電,26.68
857,6776,展碁國際,58.92
858,6781,AES-KY,59.85
859,6790,永豐實,61.07
860,6792,詠業,38.53
861,6806,森崴能源,47.62
862,6807,峰源-KY,20.88
863,8011,台通,19.27
864,8016,矽創,6.51
865,8021,尖點,9.86
866,8028,昇陽半,5.47
867,8033,雷虎,2.99
868,8039,台虹,11.19
869,8046,南電,66.97
870,8070,長華,35.19
871,8072,陞泰,39.17
872,8081,致新,10.73
873,8101,華冠,35.53
874,8103,瀚荃,11.09
875,8104,錸寶,33.51
876,8105,凌巨,34.64
877,8110,華東,38.9
878,8112,至上,5.83
879,8114,振樺電,6.62
880,8131,福懋科,62.71
881,8150,南茂,11.74
882,8163,達方,22.89
883,8201,無敵,40.95
884,8210,勤誠,12.38
885,8213,志超,6.6
886,8215,明基材,40.25
887,8222,寶一,15.84
888,8249,菱光,23.21
889,8261,富鼎,7.55
890,8271,宇瞻,18.41
891,8341,日友,37.72
892,8367,建新國際,37.79
893,8374,羅昇,57.13
894,8404,百和興業-KY,59.77
895,8411,福貞-KY,4.57
896,8422,可寧衛,17.26
897,8429,金麗-KY,24.28
898,8442,威宏-KY,31.01
899,8443,阿瘦,12.93
900,8454,富邦媒,55.54
901,8462,柏文,36.51
902,8463,潤泰材,46.72
903,8464,億豐,26.26
904,8466,美吉吉-KY,40.7
905,8467,波力-KY,9.86
906,8473,山林水,66.93
907,8478,東哥,38.8
908,8480,泰昇-KY,64.82
909,8481,政伸,36.35
910,8482,商億-KY,0
911,8488,吉源-KY,8.3
912,8499,鼎炫-KY,48.51
913,8926,台汽電,34.15
914,8940,新天地,21.42
915,8996,高力,4.53
916,9802,鈺齊-KY,3.41
917,9902,台火,20.87
918,9904,寶成,7.66
919,9905,大華,17.65
920,9906,欣巴巴,50.07
921,9907,統一實,48.05
922,9908,大台北,12.65
923,9910,豐泰,17.69
924,9911,櫻花,9.92
925,9912,偉聯,6.42
926,9914,美利達,24.22
927,9917,中保,31.89
928,9918,欣天然,40.78
929,9919,康那香,25.48
930,9921,巨大,17.73
931,9924,福興,11.04
932,9925,新保,16.01
933,9926,新海,12.1
934,9927,泰銘,38.33
935,9928,中視,51.32
936,9929,秋雨,8.54
937,9930,中聯資源,68.63
938,9931,欣高,24.83
939,9933,中鼎,9.01
940,9934,成霖,6.52
941,9935,慶豐富,10.24
942,9937,全國,27.46
943,9938,百和,7.39
944,9939,宏全,8.2
945,9940,信義,32.56
946,9941,裕融,43.86
947,9942,茂順,15.59
948,9943,好樂迪,38.23
949,9944,新麗,26.67
950,9945,潤泰新,27.8
951,9946,三發地產,4.03
952,9955,佳龍,39.16
953,9958,世紀鋼,18.84
