,序號,券商,價格,買進股數,賣出股數
0,1,1025,15.35,0,1000
1,3,104A,15.4,0,2000
2,5,116C,15.3,2000,0
3,7,116d,15.4,0,1000
4,9,116j,15.35,2000,0
5,11,1440,15.3,16000,0
6,13,1470,15.4,7000,0
7,15,1650,15.35,3000,0
8,17,5261,15.3,2000,0
9,19,538E,15.4,4000,0
10,21,538W,15.35,0,10000
11,23,5855,15.35,1000,0
12,25,585P,15.3,1000,0
13,27,592E,15.3,1,0
14,29,592H,15.4,1000,0
15,31,592W,15.35,5000,0
16,33,592z,15.35,1000,0
17,35,6160,15.45,1000,0
18,37,6164,15.4,1000,0
19,39,700E,15.3,2000,0
20,41,7790,15.35,97,0
21,43,7790,15.6,0,13
22,45,8150,15.4,0,1000
23,47,8151,15.35,2000,20000
24,49,815B,15.4,1000,0
25,51,8440,15.35,2000,0
26,53,8459,15.6,40,0
27,55,8560,15.3,5000,0
28,57,8561,15.35,0,2000
29,59,8563,15.3,2000,0
30,61,8565,15.4,0,1000
31,63,884C,15.35,0,1000
32,65,8885,15.3,1000,0
33,67,913U,15.3,4000,0
34,69,9187,15.35,0,4000
35,71,918i,15.35,2000,0
36,73,9204,15.3,1000,0
37,75,920W,15.35,1,0
38,77,9233,15.6,0,63
39,79,9268,15.35,0,2000
40,81,9285,15.3,0,1
41,83,9305,15.3,0,1
42,85,9312,15.35,0,3000
43,87,9333,15.4,0,1000
44,89,9604,15.35,16000,4000
45,91,9623,15.3,5000,0
46,93,9657,15.3,1000,0
47,95,9663,15.25,2000,0
48,97,9663,15.35,10000,0
49,99,9663,15.45,0,4000
50,2,1040,15.3,2000,0
51,4,1118,15.35,0,1000
52,6,116C,15.35,0,2000
53,8,116F,15.3,2000,0
54,10,116m,15.35,6000,0
55,12,1440,15.4,0,5000
56,14,1650,15.3,7000,0
57,16,2180,15.4,0,1000
58,18,5267,15.35,4000,0
59,20,538E,15.45,0,9000
60,22,5850,15.4,0,10000
61,24,585J,15.3,1000,0
62,26,592a,15.3,0,3
63,28,592E,15.35,9,0
64,30,592Q,15.3,1000,0
65,32,592X,15.45,3000,0
66,34,601d ,15.35,0,1000
67,36,6164,15.35,1000,0
68,38,6452,15.45,1000,0
69,40,700I,15.3,5000,0
70,42,7790,15.45,2000,0
71,44,8150,15.35,1,0
72,46,8150,15.6,4,0
73,48,8159,15.3,0,80000
74,50,8440,15.3,13000,0
75,52,8440,15.4,4000,0
76,54,845D,15.5,0,2
77,56,8560,15.35,7000,0
78,58,8562,15.25,0,2000
79,60,8563,15.35,4000,0
80,62,8565,15.5,1,0
81,64,8882,15.3,1000,0
82,66,8888,15.4,1000,0
83,68,913U,15.6,30,0
84,70,918C,15.4,0,10000
85,72,918J,15.35,1000,0
86,74,920G,15.4,2000,0
87,76,920W,15.6,2,0
88,78,9268,15.3,5000,0
89,80,9285,15.1,0,4
90,82,9289,15.3,0,10000
91,84,9312,15.3,0,7000
92,86,9331,15.3,0,30000
93,88,9604,15.3,8000,0
94,90,9604,15.4,6000,0
95,92,9623,15.35,1000,0
96,94,965U,15.35,1000,0
97,96,9663,15.3,5000,0
98,98,9663,15.4,0,3000
99,100,9676,15.3,5000,0
100,101,9676,15.35,5000,0
101,103,9801,15.3,2000,0
102,105,9812,15.35,0,3000
103,107,981D,15.35,0,3000
104,109,981K,15.4,10000,0
105,111,981y,15.3,4,0
106,113,9862,15.35,0,1000
107,115,986K,15.35,1000,0
108,117,9884,15.4,0,1000
109,119,989C,15.3,0,5000
110,121,989E,15.4,0,5000
111,123,989V,15.3,4000,0
112,125,989Z,15.35,0,10
113,127,9A89,15.45,0,2000
114,129,9A91,15.5,1,0
115,131,9A92,15.35,0,9000
116,133,9A9C,15.45,2000,0
117,135,9A9h,15.3,0,4000
118,137,9A9L,15.4,0,1000
119,102,9676,15.4,4000,0
120,104,9801,15.35,2000,0
121,106,9814,15.4,1000,0
122,108,981K,15.3,0,10000
123,110,981y,15.1,4,0
124,112,9857,15.45,1000,0
125,114,9868,15.3,30000,0
126,116,9872,15.45,5000,0
127,118,989B,15.3,1000,0
128,120,989D,15.35,0,5000
129,122,989I,15.35,0,10000
130,124,989V,15.35,4000,0
131,126,9A00,15.35,0,98
132,128,9A91,15.4,5000,0
133,130,9A92,15.3,1000,0
134,132,9A98,15.4,0,5000
135,134,9A9e,15.3,10000,0
136,136,9A9K,15.3,1000,0
137,138,9A9U,15.35,1000,0
