,序號,券商,價格,買進股數,賣出股數
0,1,1020合　　庫,51.80,0,1000
1,2,1020合　　庫,51.90,0,50000
2,3,1020合　　庫,52.00,0,50000
3,4,1021合庫台中,51.60,0,5000
4,5,1021合庫台中,51.70,1000,0
5,6,1021合庫台中,51.90,0,5000
6,7,1023合庫高雄,51.80,0,5000
7,8,1023合庫高雄,51.90,1000,0
8,9,1023合庫高雄,52.10,1000,0
9,10,1024合庫嘉義,51.80,0,1000
10,11,1024合庫嘉義,52.10,1000,0
11,12,1028合庫彰化,51.80,11000,0
12,13,1028合庫彰化,51.90,1000,0
13,14,102C合庫自強,51.80,2000,0
14,15,102E合庫桃園,51.80,1000,1000
15,16,102E合庫桃園,51.90,0,1000
16,17,102F合庫西台,51.70,0,1000
17,18,102F合庫西台,51.80,2000,0
18,19,1031土銀台中,51.80,1000,0
19,20,1038土銀和平,51.80,0,1000
20,21,103B土銀彰化,51.80,2000,0
21,22,1040臺    銀,51.80,80000,0
22,23,1042臺銀臺南,51.70,1000,0
23,24,1042臺銀臺南,51.80,0,1000
24,25,1042臺銀臺南,51.90,200,0
25,26,1043臺銀民權,51.80,50,1000
26,27,1043臺銀民權,51.90,50,0
27,28,1045臺銀新竹,51.90,1000,0
28,29,104A臺銀臺中,51.80,2000,300
29,30,104A臺銀臺中,51.90,3000,0
30,31,104C臺銀高雄,51.80,1000,0
31,32,104D臺銀金山,51.80,2000,7000
32,33,104D臺銀金山,52.00,100,0
33,34,1110企    銀,51.70,120000,0
34,35,1111企銀台中,51.70,1000,0
35,36,1111企銀台中,52.00,0,2000
36,37,1112企銀台南,51.80,2000,0
37,38,111E企銀桃園,51.90,1000,0
38,39,1160日    盛,51.70,0,3000
39,40,1160日    盛,51.80,62000,0
40,41,1160日    盛,51.90,14000,0
41,42,1160日    盛,52.00,10,0
42,43,1161日盛忠孝,51.80,1000,0
43,44,1165日盛板橋,51.80,1000,0
44,45,1169日盛士林,51.80,598,0
45,46,116B日盛中壢,51.70,25000,0
46,47,116B日盛中壢,51.90,26000,0
47,48,116F日盛員林,51.70,15000,0
48,49,116F日盛員林,51.80,15000,0
49,50,116F日盛員林,51.90,9000,15000
50,51,116F日盛員林,52.00,0,15000
51,52,116F日盛員林,52.10,0,9000
52,53,116G日盛景美,51.90,10000,0
53,54,116H日盛新竹,51.80,5000,0
54,55,116H日盛新竹,51.90,0,219
55,56,116H日盛新竹,52.00,1,0
56,57,116i日盛樹林,51.80,10000,0
57,58,116I日盛南京,51.70,10000,0
58,59,116J日盛中山,51.90,5000,0
59,60,116k日盛北高,51.80,0,1000
60,61,116K日盛花蓮,51.80,0,5000
61,62,116L日盛大墩,51.70,0,1000
62,63,116m日盛和美,51.90,50,0
63,64,116m日盛和美,52.00,1000,0
64,65,116Q日盛二林,51.80,0,1000
65,66,116s日盛土城,51.80,1000,0
66,67,116s日盛土城,51.90,1000,0
67,68,116S日盛新莊,51.70,1000,0
68,69,116S日盛新莊,51.80,7000,0
69,70,116U日盛桃園,51.80,0,1000
70,71,116V日盛斗六,51.80,1000,0
71,72,116Z日盛中和,51.70,1000,0
72,73,116Z日盛中和,51.80,35000,0
73,74,1230彰    銀,51.80,1000,0
74,75,1230彰    銀,51.90,2000,0
75,76,1233彰銀台中,51.70,0,1000
76,77,1233彰銀台中,51.80,1000,0
77,78,1260宏    遠,51.70,0,3000
78,79,1262宏遠桃園,51.80,1000,0
79,80,126i宏遠光隆,51.80,1000,0
80,81,126U宏遠館前,51.90,100,0
81,82,1440美林,51.70,4000,28000
82,83,1440美林,51.80,83000,0
83,84,1440美林,51.90,2000,0
84,85,1440美林,52.00,1000,0
85,86,1470台灣摩根,51.70,3000,6000
86,87,1470台灣摩根,51.80,45000,52000
87,88,1470台灣摩根,51.90,10000,10000
88,89,1470台灣摩根,52.00,4000,5000
89,90,1480美商高盛,51.70,0,3000
90,91,1480美商高盛,51.80,0,30000
91,92,1480美商高盛,51.90,0,4000
92,93,1480美商高盛,52.00,0,1000
93,94,1520瑞士信貸,51.70,0,1000
94,95,1520瑞士信貸,51.80,45000,236000
95,96,1520瑞士信貸,51.90,3000,90000
96,97,1560港商野村,51.70,8000,0
97,98,1560港商野村,51.80,65000,0
98,99,1560港商野村,51.90,65000,0
99,100,1560港商野村,52.00,17000,0
100,101,1560港商野村,52.10,1000,0
101,102,1570港商法興,52.00,12000,0
102,103,1590花旗環球,51.70,0,3000
103,104,1590花旗環球,51.80,0,29000
104,105,1650瑞銀,51.60,0,2000
105,106,1650瑞銀,51.70,2000,38000
106,107,1650瑞銀,51.80,47000,189000
107,108,1650瑞銀,51.90,14665,36000
108,109,1650瑞銀,52.00,0,11000
109,110,2180亞    東,51.90,0,2000
110,111,2187亞東台中,51.80,2000,0
111,112,5262美好楊梅,51.80,57,0
112,113,5268美好台南,51.70,100,0
113,114,5321高橋龍潭,51.80,0,3000
114,115,5380第一金證,51.80,1000,0
115,116,538B第一新竹,51.70,0,1000
116,117,538D第一忠孝,51.70,1000,0
117,118,538D第一忠孝,51.80,1000,2000
118,119,538E第一自由,51.80,35,0
119,120,538E第一自由,51.90,1000,0
120,121,538I第一頭份,51.80,0,1000
121,122,538j第一安和,51.70,0,1000
122,123,538j第一安和,52.00,0,2000
123,124,538M第一嘉義,51.70,1000,0
124,125,538Y第一中壢,51.80,1000,0
125,126,538Y第一中壢,51.90,1000,0
126,127,5850統    一,51.70,9000,0
127,128,5850統    一,51.80,3000,8000
128,129,5850統    一,51.90,8040,0
129,130,5850統    一,52.00,4000,0
130,131,5851統一高雄,51.80,0,2000
131,132,5854統一城中,51.80,21000,0
132,133,5854統一城中,51.90,5000,0
133,134,5856統一台中,51.80,1000,0
134,135,5858統一嘉義,52.00,5000,0
135,136,585J統一三重,51.80,0,1000
136,137,585M統一士林,51.80,37,0
137,138,585W統一金門,51.90,10000,0
138,139,5920元    富,51.70,10000,0
139,140,5925元富台中,51.80,3057,0
140,141,5925元富台中,51.90,71,0
141,142,5929元富台南,51.80,7000,0
142,143,592a元富松德,52.00,0,1000
143,144,592A元富緯城,51.70,0,4000
144,145,592b元富板橋,51.70,1000,0
145,146,592C元富潮洲,51.90,0,1000
146,147,592D元富大昌,51.80,6096,0
147,148,592E元富城中,51.80,1000,0
148,149,592E元富城中,52.00,0,527
149,150,592E元富城中,52.10,0,1000
150,151,592H元富信義,51.80,3000,0
151,152,592I元富嘉義,51.80,3000,0
152,153,592m元富成功,51.80,6000,3000
153,154,592n元富西松,51.90,200,0
154,155,592N元富虎尾,51.80,0,2000
155,156,592o元富新興,51.90,400,0
156,157,592P元富同大,51.80,2000,100
157,158,592P元富同大,52.00,5000,0
158,159,592Q元富敦南,51.80,71,0
159,160,592Q元富敦南,51.90,0,100
160,161,592r元富城東,51.80,6000,0
161,162,592r元富城東,52.00,0,3000
162,163,592U元富宜蘭,51.90,400,0
163,164,592v元富桃園,51.70,2000,0
164,165,592V元富民權,51.80,2000,0
165,166,592z元富文心,51.90,50,150
166,167,592Z元富安南,51.80,3000,1000
167,168,6012★亞網路,51.80,1000,0
168,169,601d亞鑫豐,51.80,6000,0
169,170,601d亞鑫豐,51.90,0,1000
170,171,601d亞鑫豐,52.00,0,3000
171,172,6110台中銀,51.80,2000,0
172,173,6160中國信託,51.70,8000,11
173,174,6160中國信託,51.80,52000,1000
174,175,6160中國信託,51.90,47000,1000
175,176,6160中國信託,52.00,12000,0
176,177,6160中國信託,52.10,5000,0
177,178,6162中信託忠,51.80,3000,1000
178,179,6162中信託忠,51.90,0,1000
179,180,6163中信託永,51.80,2500,0
180,181,6163中信託永,52.00,2000,0
181,182,6164中信託文,51.80,1000,0
182,183,6165中信託新,51.80,1000,0
183,184,6167中信松江,51.90,1000,0
184,185,616A中信中壢,52.00,1000,0
185,186,6380光    和,51.80,1000,0
186,187,6452永全八德,51.80,1000,0
187,188,6460大    昌,51.70,0,1
188,189,6463大昌新竹,51.90,3000,555
189,190,6480福    邦,51.80,1000,0
190,191,7000兆豐,51.60,12000,0
191,192,7000兆豐,51.70,63000,0
192,193,7005兆豐中港,51.70,0,1000
193,194,7006兆豐台南,51.80,1000,0
194,195,7007兆豐竹北,51.80,10000,0
195,196,7009兆豐景美,51.80,80,1000
196,197,700f兆豐鹿港,51.90,3000,0
197,198,700i兆豐松德,51.70,0,2000
198,199,700I兆豐北高,51.80,10000,1000
199,200,700J兆豐公益,51.80,0,1000
