,序號,券商,價格,買進股數,賣出股數
0,1,1020合　　庫,30.85,3000,0
1,2,1020合　　庫,30.90,0,1000
2,3,1020合　　庫,31.00,0,5000
3,4,1021合庫台中,30.90,5000,0
4,5,1023合庫高雄,31.05,0,298
5,6,1028合庫彰化,30.90,10000,0
6,7,102C合庫自強,30.85,1000,0
7,8,102C合庫自強,30.90,1000,0
8,9,102E合庫桃園,30.85,5000,0
9,10,102E合庫桃園,30.90,3000,0
10,11,1030土　　銀,30.85,4000,0
11,12,1031土銀台中,30.95,0,1000
12,13,1032土銀台南,30.90,6000,0
13,14,1034土銀嘉義,31.00,1000,0
14,15,1035土銀新竹,30.85,0,2000
15,16,1035土銀新竹,30.90,1000,0
16,17,1035土銀新竹,30.95,2000,0
17,18,103B土銀彰化,30.90,10000,0
18,19,1040臺    銀,30.90,3000,0
19,20,1040臺    銀,30.95,0,3000
20,21,1040臺    銀,31.00,0,1000
21,22,1040臺    銀,31.05,2000,0
22,23,1040臺    銀,31.10,2000,0
23,24,1041臺銀鳳山,31.00,3000,1000
24,25,1042臺銀臺南,30.85,3000,0
25,26,1042臺銀臺南,30.95,96,0
26,27,1043臺銀民權,30.85,0,10000
27,28,1043臺銀民權,30.90,1000,0
28,29,1043臺銀民權,31.00,0,1000
29,30,104A臺銀臺中,30.85,8000,0
30,31,104A臺銀臺中,30.90,1000,0
31,32,104A臺銀臺中,30.95,90,5000
32,33,104A臺銀臺中,31.00,3000,0
33,34,104A臺銀臺中,31.05,0,3000
34,35,104C臺銀高雄,30.85,1000,0
35,36,104C臺銀高雄,30.90,0,1000
36,37,104C臺銀高雄,30.95,0,1000
37,38,104C臺銀高雄,31.00,0,1000
38,39,104D臺銀金山,31.05,1000,0
39,40,1111企銀台中,30.95,0,10000
40,41,1111企銀台中,31.05,0,5000
41,42,1116企銀屏東,30.95,0,1000
42,43,1160日    盛,30.85,2000,0
43,44,1160日    盛,31.00,0,700
44,45,1160日    盛,31.05,0,2000
45,46,1161日盛忠孝,30.90,0,20000
46,47,1162日盛台南,30.95,20000,0
47,48,1162日盛台南,31.00,17000,0
48,49,1163日盛台中,30.95,0,4000
49,50,1165日盛板橋,31.00,10000,0
50,51,1167日盛嘉義,31.05,0,5000
51,52,116A日盛木柵,30.95,0,1000
52,53,116b日盛園區,30.95,0,1000
53,54,116B日盛中壢,30.90,6000,0
54,55,116B日盛中壢,30.95,250,0
55,56,116B日盛中壢,31.00,250,0
56,57,116B日盛中壢,31.05,250,0
57,58,116C日盛八德,30.85,1000,0
58,59,116d日盛三峽,30.90,3000,0
59,60,116d日盛三峽,30.95,1000,0
60,61,116d日盛三峽,31.00,1000,6000
61,62,116e日盛竹北,31.00,1000,0
