,序號,券商,價格,買進股數,賣出股數
1519,1520,981Z元大潮州,24.70,100,0
1520,1521,981Z元大潮州,24.75,2000,0
1521,1522,9824元大向上,24.70,0,3818
1522,1523,9824元大向上,24.80,0,5000
1523,1524,9824元大向上,24.85,36,0
1524,1525,9825元大新營,24.70,0,2000
1525,1526,9825元大新營,24.75,2000,2000
1526,1527,9825元大新營,24.80,0,2000
1527,1528,9825元大新營,24.85,0,1000
1528,1529,9829元大永康,24.70,4000,0
1529,1530,9829元大永康,24.75,9000,290
1530,1531,9829元大永康,24.80,1000,1000
1531,1532,982A元大羅東,24.70,0,1000
1532,1533,982A元大羅東,24.75,0,6000
1533,1534,982B元大博愛,24.65,1000,0
1534,1535,982B元大博愛,24.70,0,1000
1535,1536,982B元大博愛,24.75,2000,4000
1536,1537,982B元大博愛,24.80,10200,0
1537,1538,982B元大博愛,24.85,0,1000
1538,1539,982C元大六合,24.70,0,1300
1539,1540,982C元大六合,24.75,2000,0
1540,1541,982C元大六合,24.80,0,2000
1541,1542,982C元大六合,24.85,0,5000
1542,1543,9831元大四維,24.75,0,1000
1543,1544,9833元大敦化,24.65,10000,0
1544,1545,9833元大敦化,24.70,0,3000
1545,1546,9834元大中壢,24.70,1000,5000
1546,1547,9834元大中壢,24.75,7000,5000
1547,1548,9834元大中壢,24.80,0,3000
1548,1549,9834元大中壢,24.85,0,2000
1549,1550,9835元大中山,24.65,3000,0
1550,1551,9835元大中山,24.75,0,2000
1551,1552,9837元大北港,24.70,1000,0
1552,1553,9837元大北港,24.75,1000,1000
1553,1554,9837元大北港,24.80,3000,1000
1554,1555,9837元大北港,24.85,0,6000
1555,1556,9838元大豐原,24.60,1000,0
1556,1557,9838元大豐原,24.65,1000,0
1557,1558,9838元大豐原,24.70,9000,0
1558,1559,9838元大豐原,24.75,1000,0
1559,1560,9838元大豐原,24.80,1000,1000
1560,1561,9838元大豐原,24.85,0,1000
1561,1562,983B元大林森,24.65,5000,0
1562,1563,983B元大林森,24.70,11000,0
1563,1564,983B元大林森,24.75,1025,0
1564,1565,983f元大竹東,24.80,0,20000
1565,1566,983f元大竹東,24.85,0,2000
1566,1567,983G元大上新,24.75,0,5000
1567,1568,983i元大大雅,24.65,1000,1000
1568,1569,983i元大大雅,24.70,1000,1000
1569,1570,983i元大大雅,24.75,150,4000
1570,1571,983i元大大雅,24.80,0,2000
1571,1572,983j元大仁愛,24.80,0,2000
1572,1573,983j元大仁愛,24.85,0,1000
1573,1574,983M元大木柵,24.65,0,3000
1574,1575,983M元大木柵,24.70,1000,0
1575,1576,983M元大木柵,24.75,500,0
1576,1577,983M元大木柵,24.80,0,1000
1577,1578,983U元大頭份,24.65,2000,0
1578,1579,983U元大頭份,24.70,0,2000
1579,1580,983U元大頭份,24.75,7050,10000
1580,1581,983U元大頭份,24.85,0,1000
1581,1582,983V元大竹南,24.70,1000,4000
1582,1583,983V元大竹南,24.80,0,6000
1583,1584,983W元大德芳,24.75,4000,1000
1584,1585,983W元大德芳,24.80,1000,0
1585,1586,983W元大德芳,24.85,0,21000
1586,1587,984C元大新中,24.75,50,5000
1587,1588,984E元大南勢,24.65,2101,0
1588,1589,984E元大南勢,24.70,0,500
1589,1590,984H元大景美,24.70,0,2000
1590,1591,984H元大景美,24.80,0,1000
1591,1592,984K元大館前,24.75,0,10000
1592,1593,984K元大館前,24.80,2000,0
1593,1594,9852元大永春,24.65,1000,2000
1594,1595,9852元大永春,24.70,2000,0
1595,1596,9852元大永春,24.75,0,2000
1596,1597,9852元大永春,24.80,0,7000
1597,1598,9852元大永春,24.85,0,6000
1598,1599,9853元大南屯,24.75,1000,6000
1599,1600,9853元大南屯,24.85,0,1000
1600,1601,9854元大興安,24.65,0,1000
1601,1602,9854元大興安,24.70,0,5000
1602,1603,9854元大興安,24.75,0,2000
1603,1604,9854元大興安,24.85,0,1098
1604,1605,9856元大花蓮,24.70,10000,0
1605,1606,9856元大花蓮,24.75,3000,3000
1606,1607,9856元大花蓮,24.85,11000,2000
1607,1608,9857元大東蘆,24.70,5000,37000
1608,1609,9857元大東蘆,24.75,5000,6000
1609,1610,9858元大龍潭,24.65,3000,0
1610,1611,9858元大龍潭,24.70,3000,0
1611,1612,9858元大龍潭,24.75,10000,5000
1612,1613,9858元大龍潭,24.80,2000,1000
1613,1614,9859元大經國,24.75,2000,1000
1614,1615,9859元大經國,24.80,0,1000
1615,1616,985C元大鳳中,24.70,0,6200
1616,1617,985C元大鳳中,24.75,80,0
1617,1618,985C元大鳳中,24.85,0,1000
1618,1619,9862元大南京,24.70,2000,0
1619,1620,9862元大南京,24.75,1000,0
1620,1621,9862元大南京,24.80,0,11000
1621,1622,9862元大南京,24.85,0,2000
1622,1623,9863元大和平,24.85,0,1000
1623,1624,9867元大北成,24.70,1000,4000
1624,1625,9867元大北成,24.75,1000,2000
1625,1626,9867元大北成,24.85,0,1000
1626,1627,9868元大文心,24.80,0,1000
1627,1628,9868元大文心,24.85,5000,13000
1628,1629,9869元大新盛,24.80,5000,50
1629,1630,9869元大新盛,24.85,0,5000
1630,1631,986K元大基孝,24.75,1000,6000
1631,1632,986K元大基孝,24.85,0,5000
1632,1633,9871元大忠孝,24.65,2000,0
1633,1634,9871元大忠孝,24.70,2200,1000
1634,1635,9871元大忠孝,24.75,0,5000
1635,1636,9871元大忠孝,24.85,0,3000
1636,1637,9872元大復北,24.65,1000,0
1637,1638,9872元大復北,24.70,1100,0
1638,1639,9872元大復北,24.75,0,2000
1639,1640,9872元大復北,24.80,0,12000
1640,1641,9873元大西門,24.70,1000,0
1641,1642,9873元大西門,24.75,1000,0
1642,1643,9873元大西門,24.80,1000,5000
1643,1644,9873元大西門,24.85,21000,2000
1644,1645,9874元大雙和,24.70,101000,0
1645,1646,9874元大雙和,24.75,2100,4000
1646,1647,9874元大雙和,24.85,0,1000
1647,1648,9875元大永寧,24.75,0,12100
1648,1649,9875元大永寧,24.80,0,10000
1649,1650,9878元大金華,24.65,2000,0
1650,1651,9878元大金華,24.70,3000,0
1651,1652,9878元大金華,24.75,1000,6000
1652,1653,9879元大板三,24.70,0,1000
1653,1654,9879元大板三,24.75,0,2000
1654,1655,9879元大板三,24.85,0,1000
1655,1656,987A元大楊梅,24.70,5000,0
1656,1657,987A元大楊梅,24.75,6000,0
1657,1658,987A元大楊梅,24.85,0,3000
1658,1659,9884元大斗信,24.65,5000,1000
1659,1660,9884元大斗信,24.75,0,500
1660,1661,9884元大斗信,24.80,0,1500
1661,1662,9884元大斗信,24.85,0,1000
1662,1663,9889元大員林,24.65,1000,0
1663,1664,9889元大員林,24.70,1000,0
1664,1665,9889元大員林,24.75,200,2000
1665,1666,9889元大員林,24.80,0,1000
1666,1667,9889元大員林,24.85,0,1000
1667,1668,988B元大桃園,24.70,5000,1000
1668,1669,988B元大桃園,24.80,0,4000
1669,1670,988C元大三重,24.65,10000,0
1670,1671,988C元大三重,24.70,1160,276
1671,1672,988C元大三重,24.75,160,0
1672,1673,988V元大長庚,24.70,2040,0
1673,1674,988V元大長庚,24.85,0,1000
1674,1675,9891元大永和,24.75,0,3000
1675,1676,9891元大永和,24.80,0,5082
1676,1677,9891元大永和,24.85,0,3000
1677,1678,9892元大屏東,24.75,2000,3300
1678,1679,9893元大大天,24.70,0,10000
1679,1680,9893元大大天,24.85,0,6000
1680,1681,9894元大桃興,24.75,5000,2300
1681,1682,9894元大桃興,24.80,1000,0
1682,1683,9894元大桃興,24.85,0,12000
1683,1684,9896元大台南,24.80,0,1000
1684,1685,9896元大台南,24.85,0,2000
1685,1686,9897元大土城,24.70,10000,1000
1686,1687,9897元大土城,24.75,0,1000
1687,1688,9897元大土城,24.80,0,6000
1688,1689,9897元大土城,24.85,0,5000
1689,1690,9898元大新莊,24.65,0,1000
1690,1691,9898元大新莊,24.75,2000,12000
1691,1692,9898元大新莊,24.80,0,12000
1692,1693,9898元大新莊,24.85,0,19000
1693,1694,9899元大淡水,24.75,0,6000
1694,1695,989a元大苑裡,24.70,0,8000
1695,1696,989a元大苑裡,24.75,0,2100
1696,1697,989A元大北投,24.65,1000,0
1697,1698,989A元大北投,24.70,0,5020
1698,1699,989A元大北投,24.75,5000,3000
1699,1700,989A元大北投,24.80,5000,0
1700,1701,989B元大中港,24.65,2000,0
1701,1702,989B元大中港,24.70,2000,60
1702,1703,989B元大中港,24.75,0,150
1703,1704,989B元大中港,24.85,0,7000
1704,1705,989C元大板橋,24.65,1000,1000
1705,1706,989C元大板橋,24.75,3300,1000
1706,1707,989C元大板橋,24.80,0,2000
1707,1708,989d元大北屯,24.65,0,2000
1708,1709,989d元大北屯,24.70,2,1000
1709,1710,989d元大北屯,24.75,1000,0
1710,1711,989D元大左營,24.70,115,0
1711,1712,989D元大左營,24.80,0,3000
1712,1713,989e元大中和,24.70,0,2000
1713,1714,989e元大中和,24.75,0,1000
1714,1715,989e元大中和,24.80,0,1000
1715,1716,989E元大草屯,24.75,10,5200
1716,1717,989E元大草屯,24.80,2000,5000
1717,1718,989E元大草屯,24.85,0,7000
1718,1719,989f元大東港,24.70,3000,0
1719,1720,989f元大東港,24.75,0,2000
1720,1721,989F元大高雄,24.70,2000,3000
1721,1722,989F元大高雄,24.75,0,1000
1722,1723,989F元大高雄,24.85,0,3000
1723,1724,989g元大嘉義,24.65,1000,0
1724,1725,989g元大嘉義,24.70,6000,0
1725,1726,989g元大嘉義,24.75,1000,0
1726,1727,989g元大嘉義,24.80,0,90
1727,1728,989G元大大同,24.70,0,2000
1728,1729,989G元大大同,24.75,1208,5000
1729,1730,989G元大大同,24.80,0,20000
1730,1731,989G元大大同,24.85,0,16000
1731,1732,989I元大蘆洲,24.70,2000,1000
1732,1733,989I元大蘆洲,24.75,1000,5200
1733,1734,989I元大蘆洲,24.80,0,4000
1734,1735,989j元大樹林,24.65,1000,0
1735,1736,989j元大樹林,24.75,14064,4000
1736,1737,989j元大樹林,24.85,0,2000
1737,1738,989J元大彰生,24.65,1000,0
1738,1739,989J元大彰生,24.70,5000,0
1739,1740,989J元大彰生,24.80,1000,3000
1740,1741,989J元大彰生,24.85,0,2000
1741,1742,989k元大古亭,24.80,10,300
1742,1743,989L元大成功,24.65,2000,0
1743,1744,989L元大成功,24.75,2015,0
1744,1745,989L元大成功,24.80,0,1000
1745,1746,989L元大成功,24.85,0,3000
1746,1747,989N元大內湖,24.70,5150,0
1747,1748,989N元大內湖,24.75,4100,1000
1748,1749,989N元大內湖,24.80,0,1000
1749,1750,989N元大內湖,24.85,150,2256
1750,1751,989P元大敦南,24.70,50,0
1751,1752,989P元大敦南,24.75,100000,0
1752,1753,989P元大敦南,24.85,0,2000
1753,1754,989Q元大汐止,24.70,300,2000
1754,1755,989Q元大汐止,24.75,1020,0
1755,1756,989Q元大汐止,24.80,0,2000
1756,1757,989Q元大汐止,24.85,0,37000
1757,1758,989S元大鹿港,24.65,0,2000
1758,1759,989S元大鹿港,24.70,1040,0
1759,1760,989S元大鹿港,24.80,0,10100
1760,1761,989U元大大甲,24.75,0,2000
1761,1762,989U元大大甲,24.80,0,4000
1762,1763,989U元大大甲,24.85,0,3000
1763,1764,989V元大北重,24.65,1000,0
1764,1765,989V元大北重,24.75,1000,0
1765,1766,989V元大北重,24.85,0,1000
1766,1767,989W元大站前,24.70,1000,0
1767,1768,989W元大站前,24.75,1000,4000
1768,1769,989W元大站前,24.85,0,1000
1769,1770,989X元大民生,24.70,2000,0
1770,1771,989X元大民生,24.80,1000,10000
1771,1772,989Y元大基隆,24.75,1000,2000
1772,1773,989Y元大基隆,24.80,0,2000
1773,1774,989Y元大基隆,24.85,0,1000
1774,1775,989Z元大小港,24.65,1000,0
1775,1776,989Z元大小港,24.70,0,1000
1776,1777,989Z元大小港,24.75,3000,1000
1777,1778,989Z元大小港,24.80,6000,0
1778,1779,9A00永豐金,24.65,1000,0
1779,1780,9A00永豐金,24.70,0,15000
1780,1781,9A00永豐金,24.75,10100,13002
1781,1782,9A00永豐金,24.80,9000,1000
1782,1783,9A00永豐金,24.85,0,14000
1783,1784,9A61永豐鳳山,24.65,0,2000
1784,1785,9A61永豐鳳山,24.70,5000,3000
1785,1786,9A61永豐鳳山,24.80,0,11000
1786,1787,9A69永豐屏東,24.80,0,6000
1787,1788,9A79永豐埔里,24.70,0,1000
1788,1789,9A89永豐敦北,24.65,2000,0
1789,1790,9A89永豐敦北,24.70,0,1000
1790,1791,9A89永豐敦北,24.75,2000,0
1791,1792,9A89永豐敦北,24.80,50,6978
1792,1793,9A89永豐敦北,24.85,0,1000
1793,1794,9A8F永豐敦南,24.65,0,6000
1794,1795,9A8F永豐敦南,24.75,3000,0
1795,1796,9A8F永豐敦南,24.80,0,1000
1796,1797,9A91永豐松山,24.65,1000,0
1797,1798,9A91永豐松山,24.80,0,2000
1798,1799,9A92永豐萬盛,24.70,2000,1000
1799,1800,9A92永豐萬盛,24.75,0,1000
1800,1801,9A92永豐萬盛,24.85,0,3000
1801,1802,9A96永豐博愛,24.70,3000,60000
1802,1803,9A97永豐新竹,24.60,1000,0
1803,1804,9A97永豐新竹,24.80,0,1000
1804,1805,9A98永豐大園,24.65,0,2000
1805,1806,9A98永豐大園,24.70,1000,10000
1806,1807,9A99永豐中壢,24.75,200,0
1807,1808,9A99永豐中壢,24.80,100,3000
1808,1809,9A99永豐中壢,24.85,0,5000
1809,1810,9A9a永豐苓雅,24.70,0,4000
1810,1811,9A9a永豐苓雅,24.75,20000,4000
1811,1812,9A9a永豐苓雅,24.80,0,49
1812,1813,9A9a永豐苓雅,24.85,0,23000
1813,1814,9A9A永豐羅東,24.65,0,13000
1814,1815,9A9A永豐羅東,24.70,50,0
1815,1816,9A9B永豐中和,24.70,10000,2000
1816,1817,9A9B永豐中和,24.75,0,1000
1817,1818,9A9B永豐中和,24.80,1000,0
1818,1819,9A9B永豐中和,24.85,0,1000
1819,1820,9A9c永豐永康,24.70,3000,2000
1820,1821,9A9c永豐永康,24.75,0,1074
1821,1822,9A9c永豐永康,24.80,0,2000
1822,1823,9A9C永豐員林,24.65,2000,0
1823,1824,9A9C永豐員林,24.70,0,6000
1824,1825,9A9C永豐員林,24.80,0,2000
1825,1826,9A9C永豐員林,24.85,0,8000
1826,1827,9A9d永豐古亭,24.70,0,1000
1827,1828,9A9d永豐古亭,24.75,2000,5000
1828,1829,9A9D永豐忠孝,24.65,11000,0
1829,1830,9A9D永豐忠孝,24.75,1000,11000
1830,1831,9A9D永豐忠孝,24.80,0,10000
1831,1832,9A9D永豐忠孝,24.85,0,2000
1832,1833,9A9e永豐高雄,24.75,1000,6000
